brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,"Galaxy S9","SM-G960",android,phone,2018,unknown,,unknown,,,,unknown,,low,"eSIM support not confirmed"
Samsung,"Galaxy S9+","SM-G965",android,phone,2018,unknown,,unknown,,,,unknown,,low,"eSIM support not confirmed"
Samsung,"Galaxy S10e","SM-G970",android,phone,2019,unknown,,unknown,,,,unknown,,low,"eSIM support not confirmed"
Samsung,"Galaxy S10","SM-G973",android,phone,2019,unknown,,unknown,,,,unknown,,low,"eSIM support not confirmed"
Samsung,"Galaxy S10+","SM-G975",android,phone,2019,unknown,,unknown,,,,unknown,,low,"eSIM support not confirmed"
Samsung,"Galaxy S20","SM-G980",android,phone,2020,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S20+","SM-G985",android,phone,2020,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S20 Ultra","SM-G988",android,phone,2020,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S20 FE","SM-G780",android,phone,2020,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S21","SM-G991",android,phone,2021,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S21+","SM-G996",android,phone,2021,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S21 Ultra","SM-G998",android,phone,2021,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S21 FE","SM-G990",android,phone,2021,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S22","SM-S901",android,phone,2022,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S22+","SM-S906",android,phone,2022,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S22 Ultra","SM-S908",android,phone,2022,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S23","SM-S911",android,phone,2023,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S23+","SM-S916",android,phone,2023,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S23 Ultra","SM-S918",android,phone,2023,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S23 FE","SM-S711",android,phone,2023,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S24","SM-S921",android,phone,2024,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S24+","SM-S926",android,phone,2024,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S24 Ultra","SM-S928",android,phone,2024,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S24 FE","SM-S721",android,phone,2024,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S25","SM-S931",android,phone,2025,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S25+","SM-S936",android,phone,2025,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
Samsung,"Galaxy S25 Ultra","SM-S938",android,phone,2025,conditional,"region:CN=no; other=yes",physical+esim,,,,unknown,,high,"eSIM supported outside China"
