brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Mi 9,,android,phone,2019,unknown,,unknown,,9.0,,unknown,,low,
Xiaomi,Mi 9 Pro,,android,phone,2019,unknown,,unknown,,9.0,,unknown,,low,
Xiaomi,Mi 10,,android,phone,2020,unknown,,unknown,,10.0,,unknown,,low,
Xiaomi,Mi 10 Pro,,android,phone,2020,unknown,,unknown,,10.0,,unknown,,low,
Xiaomi,Mi 10 Ultra,,android,phone,2020,unknown,,unknown,,10.0,,unknown,,low,
Xiaomi,Mi 11,,android,phone,2021,unknown,,unknown,,11.0,,unknown,,low,
Xiaomi,Mi 11 Pro,,android,phone,2021,unknown,,unknown,,11.0,,unknown,,low,
Xiaomi,Mi 11 Ultra,,android,phone,2021,unknown,,unknown,,11.0,,unknown,,low,
Xiaomi,12,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,12 Pro,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,12S,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,12S Pro,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,12S Ultra,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,13,,android,phone,2023,unknown,,unknown,,13.0,,unknown,,low,
Xiaomi,13 Pro,,android,phone,2023,unknown,,unknown,,13.0,,unknown,,low,
Xiaomi,13 Ultra,,android,phone,2023,unknown,,unknown,,13.0,,unknown,,low,
Xiaomi,14,,android,phone,2024,unknown,,unknown,,14.0,,unknown,,low,
Xiaomi,14 Pro,,android,phone,2024,unknown,,unknown,,14.0,,unknown,,low,
Xiaomi,14 Ultra,,android,phone,2024,unknown,,unknown,,14.0,,unknown,,low,
Xiaomi,15,,android,phone,2025,unknown,,unknown,,15.0,,unknown,,low,
Xiaomi,15 Pro,,android,phone,2025,unknown,,unknown,,15.0,,unknown,,low,
Xiaomi,15 Ultra,,android,phone,2025,unknown,,unknown,,15.0,,unknown,,low,
Xiaomi,Mi 9T,,android,phone,2019,unknown,,unknown,,9.0,,unknown,,low,
Xiaomi,Mi 9T Pro,,android,phone,2019,unknown,,unknown,,9.0,,unknown,,low,
Xiaomi,11T,,android,phone,2021,unknown,,unknown,,11.0,,unknown,,low,
Xiaomi,11T Pro,,android,phone,2021,unknown,,unknown,,11.0,,unknown,,low,
Xiaomi,12T,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,12T Pro,,android,phone,2022,unknown,,unknown,,12.0,,unknown,,low,
Xiaomi,13T,,android,phone,2023,unknown,,unknown,,13.0,,unknown,,low,
Xiaomi,13T Pro,,android,phone,2023,unknown,,unknown,,13.0,,unknown,,low,
Xiaomi,14T,,android,phone,2024,unknown,,unknown,,14.0,,unknown,,low,
Xiaomi,14T Pro,,android,phone,2024,unknown,,unknown,,14.0,,unknown,,low,
Xiaomi,15T,,android,phone,2025,unknown,,unknown,,15.0,,unknown,,low,
Xiaomi,15T Pro,,android,phone,2025,unknown,,unknown,,15.0,,unknown,,low,
Xiaomi,Mix Fold,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Xiaomi,Mix Fold 2,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Xiaomi,Mix Fold 3,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Xiaomi,Mix Fold 4,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Xiaomi,Mix Flip,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
