brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
xiaomi,"Redmi Note 8",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 8 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 8T",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 9",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 9S",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 9 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 9T",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 10",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 10S",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 10T",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 10 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 10 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11S",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11T",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11 Pro+",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 11 Pro 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12S",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12T",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 Pro+",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 Pro 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 Pro+ 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 12 Turbo",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13 Pro+",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13 Pro 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 13 Pro+ 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14 Pro",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14 Pro+",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14 Pro 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
xiaomi,"Redmi Note 14 Pro+ 5G",,android,phone,,no,,unknown,,,,,unknown,,high,"no eSIM"
