brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Redmi 9,M2006C3MG;M2006C3LI,android,phone,2020,no,,physical+esim,,10.0,11.0,official,,high,
Xiaomi,Redmi 9 Prime,M2006C3MI,android,phone,2020,no,,physical+esim,,10.0,11.0,official,,high,
Xiaomi,Redmi 10,21061119AG;21061119DG,android,phone,2021,no,,physical+esim,,11.0,12.0,official,,high,
Xiaomi,Redmi 10 2022,21121119SG,android,phone,2022,no,,physical+esim,,11.0,12.0,official,,high,
Xiaomi,Redmi 10 Prime,21061119DI,android,phone,2021,no,,physical+esim,,11.0,12.0,official,,high,
Xiaomi,Redmi 12,23053RN02A;23053RN02Y,android,phone,2023,no,,physical+esim,,13.0,14.0,official,,high,
Xiaomi,Redmi 13,24040RN64C,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
Xiaomi,Redmi 14,,android,phone,2026,unknown,,,,,,unknown,,low,model_codes and esim status not yet confirmed
Xiaomi,Redmi A1,220733SG,android,phone,2022,no,,physical+esim,,12.0,12.0,official,,high,
Xiaomi,Redmi A2,23028RN4DG,android,phone,2023,no,,physical+esim,,13.0,13.0,official,,high,
Xiaomi,Redmi A3,24048RN6CG,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,F3,M2012K11AG;M2012K11AI,android,phone,2021,no,,physical+esim,,11.0,12.0,official,,high,
POCO,F4,22021211RG;22021211RI,android,phone,2022,no,,physical+esim,,12.0,13.0,official,,high,
POCO,F5,23049PCD8G;23049PCD8I,android,phone,2023,no,,physical+esim,,13.0,14.0,official,,high,
POCO,F5 Pro,23013PC75G,android,phone,2023,no,,physical+esim,,13.0,14.0,official,,high,
POCO,F6,24069PC21G;24069PC21I,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,F6 Pro,23113RKC6G,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,X3,M2007J20CG;M2007J20CI,android,phone,2020,no,,physical+esim,,10.0,11.0,official,,high,
POCO,X3 Pro,M2102J20SG;M2102J20SI,android,phone,2021,no,,physical+esim,,11.0,12.0,official,,high,
POCO,X4 Pro 5G,2201116PG;2201116PI,android,phone,2022,no,,physical+esim,,11.0,13.0,official,,high,
POCO,X5 Pro 5G,22101320G;22101320I,android,phone,2023,no,,physical+esim,,12.0,14.0,official,,high,
POCO,X6 Pro 5G,2311DRK48G,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,X6 5G,23122PCD1G,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,M3,M2010J19CG;M2010J19CI,android,phone,2020,no,,physical+esim,,10.0,11.0,official,,high,
POCO,M3 Pro 5G,M2103K19PG;M2103K19PI,android,phone,2021,no,,physical+esim,,11.0,12.0,official,,high,
POCO,M4 Pro 5G,2201117PG;2201117PI,android,phone,2022,no,,physical+esim,,11.0,13.0,official,,high,
POCO,M5,2212ARNC4L,android,phone,2022,no,,physical+esim,,12.0,13.0,official,,high,
POCO,M5s,22127PC95G,android,phone,2022,no,,physical+esim,,12.0,13.0,official,,high,
POCO,M6 Pro 5G,2404APC5FG,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
POCO,C3,M2006C3MI,android,phone,2020,no,,physical+esim,,10.0,11.0,official,,high,
POCO,C31,M2101K9AI,android,phone,2021,no,,physical+esim,,11.0,11.0,official,,high,
POCO,C40,220333QPG,android,phone,2022,no,,physical+esim,,11.0,12.0,official,,high,
POCO,C50,23028RN4DG,android,phone,2023,no,,physical+esim,,12.0,12.0,official,,high,
POCO,C55,23026RN4DG,android,phone,2023,no,,physical+esim,,12.0,12.0,official,,high,
POCO,C65,2310FPCA4G,android,phone,2023,no,,physical+esim,,13.0,14.0,official,,high,
POCO,C75,2410FPCC6G,android,phone,2024,no,,physical+esim,,14.0,14.0,official,,high,
