brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Honor,"Magic3",,,,,unknown,,,,,,,,,
Honor,"Magic3 Pro",,,,,unknown,,,,,,,,,
Honor,"Magic3 Pro+",,,,,unknown,,,,,,,,,
Honor,"Magic4",,,,,unknown,,,,,,,,,
Honor,"Magic4 Pro",,,,,unknown,,,,,,,,,
Honor,"Magic4 Ultimate",,,,,unknown,,,,,,,,,
Honor,"Magic5",,,,,unknown,,,,,,,,,
Honor,"Magic5 Pro",,android,phone,2023,conditional,"region:CN=no;region:global=yes",physical+esim,,,,,high,"global version supports eSIM, CN no"
Honor,"Magic5 Ultimate",,,,,unknown,,,,,,,,,
Honor,"Magic6",,,,,unknown,,,,,,,,,
Honor,"Magic6 Pro",,android,phone,2024,conditional,"region:CN=no;region:global=yes",physical+esim,,,,,high,"global version supports eSIM, CN no"
Honor,"Magic6 Ultimate",,,,,unknown,,,,,,,,,
Honor,"Magic7",,,,,unknown,,,,,,,,,
Honor,"Magic7 Pro",,,,,unknown,,,,,,,,,
Honor,"Magic V",,,,,unknown,,,,,,,,,
Honor,"Magic Vs",,,,,unknown,,,,,,,,,
Honor,"Magic V2",,android,phone,2023,conditional,"region:CN=no;region:global=yes",physical+esim,,,,,high,"global version supports eSIM, CN no"
Honor,"Magic Vs2",,,,,unknown,,,,,,,,,
Honor,"Magic V3",,android,phone,2024,conditional,"region:CN=no;region:global=yes",physical+esim,,,,,high,"global version supports eSIM, CN no"
Honor,"Magic V Flip",,,,,unknown,,,,,,,,,
Honor,"50",,,,,unknown,,,,,,,,,
Honor,"50 Pro",,,,,unknown,,,,,,,,,
Honor,"50 Pro+",,,,,unknown,,,,,,,,,
Honor,"50 Lite",,,,,unknown,,,,,,,,,
Honor,"60",,,,,unknown,,,,,,,,,
Honor,"60 Pro",,,,,unknown,,,,,,,,,
Honor,"60 Pro+",,,,,unknown,,,,,,,,,
Honor,"60 Lite",,,,,unknown,,,,,,,,,
Honor,"70",,,,,unknown,,,,,,,,,
Honor,"70 Pro",,,,,unknown,,,,,,,,,
Honor,"70 Pro+",,,,,unknown,,,,,,,,,
Honor,"70 Lite",,,,,unknown,,,,,,,,,
Honor,"80",,,,,unknown,,,,,,,,,
Honor,"80 Pro",,,,,unknown,,,,,,,,,
Honor,"80 Pro+",,,,,unknown,,,,,,,,,
Honor,"80 Lite",,,,,unknown,,,,,,,,,
Honor,"90",,,,,unknown,,,,,,,,,
Honor,"90 Pro",,,,,unknown,,,,,,,,,
Honor,"90 Pro+",,,,,unknown,,,,,,,,,
Honor,"90 Lite",,,,,unknown,,,,,,,,,
Honor,"100",,,,,unknown,,,,,,,,,
Honor,"100 Pro",,,,,unknown,,,,,,,,,
Honor,"100 Lite",,,,,unknown,,,,,,,,,
Honor,"200",,,,,unknown,,,,,,,,,
Honor,"200 Pro",,,,,unknown,,,,,,,,,
Honor,"200 Lite",,,,,unknown,,,,,,,,,
Honor,"300",,,,,unknown,,,,,,,,,
Honor,"300 Pro",,,,,unknown,,,,,,,,,
Honor,"300 Lite",,,,,unknown,,,,,,,,,
Honor,"400",,,,,unknown,,,,,,,,,
Honor,"X9",,,,,unknown,,,,,,,,,
Honor,"X10",,,,,unknown,,,,,,,,,
Honor,"X20",,,,,unknown,,,,,,,,,
Honor,"X30",,,,,unknown,,,,,,,,,
Honor,"X40",,,,,unknown,,,,,,,,,
Honor,"X40 Pro",,,,,unknown,,,,,,,,,
Honor,"X40 Pro+",,,,,unknown,,,,,,,,,
Honor,"X50",,,,,unknown,,,,,,,,,
Honor,"X50 Pro",,,,,unknown,,,,,,,,,
Honor,"X50 Pro+",,,,,unknown,,,,,,,,,
Honor,"X60",,,,,unknown,,,,,,,,,
Honor,"X60 Pro",,,,,unknown,,,,,,,,,
