brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Huawei,P30,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P30 Pro,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P40,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P40 Pro,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P40 Pro+,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P50,,harmonyos,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P50 Pro,,harmonyos,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P50 Pocket,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,P60,,harmonyos,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P60 Pro,,harmonyos,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,P60 Art,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 70,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 70 Pro,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 70 Ultra,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 80,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 80 Pro,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Pura 80 Ultra,,harmonyos,phone,,unknown,,unknown,,,,unknown,,low,
Huawei,Mate 20,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,Mate 20 Pro,,android,phone,,conditional,"region:CN=no;region:global=yes",physical+esim,,,,unknown,,high,"eSIM available on global versions"
Huawei,Mate 20 X,,android,phone,,unknown,,unknown,,,,unknown,,low,
