brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
OPPO,Find X2,,android,phone,2020,unknown,,,,10.0,,unknown,,low,
OPPO,Find X2 Pro,,android,phone,2020,unknown,,,,10.0,,unknown,,low,
OPPO,Find X2 Neo,,android,phone,2020,unknown,,,,10.0,,unknown,,low,
OPPO,Find X2 Lite,,android,phone,2020,unknown,,,,10.0,,unknown,,low,
OPPO,Find X3,,android,phone,2021,unknown,,,,11.0,,unknown,,low,
OPPO,Find X3 Pro,,android,phone,2021,unknown,,,,11.0,,unknown,,low,
OPPO,Find X3 Neo,,android,phone,2021,unknown,,,,11.0,,unknown,,low,
OPPO,Find X5,,android,phone,2022,unknown,,,,12.0,,unknown,,low,
OPPO,Find X5 Pro,,android,phone,2022,conditional,region:EU=yes;region:CN=no,,,12.0,,unknown,,high,
OPPO,Find X6,,android,phone,2023,no,,,,13.0,,unknown,,high,
OPPO,Find X6 Pro,,android,phone,2023,no,,,,13.0,,unknown,,high,
OPPO,Find X7,,android,phone,2024,no,,,,14.0,,unknown,,high,
OPPO,Find X7 Ultra,,android,phone,2024,no,,,,14.0,,unknown,,high,
OPPO,Find X8,,android,phone,2024,unknown,,,,14.0,,unknown,,low,
OPPO,Find X8 Pro,,android,phone,2024,unknown,,,,14.0,,unknown,,low,
OPPO,Find N,,android,phone,2021,unknown,,,,11.0,,unknown,,low,
OPPO,Find N2,,android,phone,2022,unknown,,,,13.0,,unknown,,low,
OPPO,Find N2 Flip,,android,phone,2022,unknown,,,,13.0,,unknown,,low,
OPPO,Find N3,,android,phone,2023,unknown,,,,13.0,,unknown,,low,
OPPO,Find N3 Flip,,android,phone,2023,unknown,,,,13.0,,unknown,,low,
OPPO,Reno 3,,android,phone,2020,unknown,,,,,,unknown,,low,
OPPO,Reno 3 Pro,,android,phone,2020,unknown,,,,,,unknown,,low,
OPPO,Reno 4,,android,phone,2020,unknown,,,,,,unknown,,low,
OPPO,Reno 4 Pro,,android,phone,2020,unknown,,,,,,unknown,,low,
OPPO,Reno 5,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 5 Pro,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 5 Pro+,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 6,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 6 Pro,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 6 Pro+,,android,phone,2021,unknown,,,,,,unknown,,low,
OPPO,Reno 7,,android,phone,2022,unknown,,,,,,unknown,,low,
