brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Tecno,Camon 16,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Tecno,Camon 17,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Tecno,Camon 18,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Camon 19,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Camon 20,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Tecno,Camon 30,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 6,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 7,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 8,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 9,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 10,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Tecno,Spark 20,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Tecno,Pova 2,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Tecno,Pova 3,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Pova 4,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Pova 5,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Tecno,Phantom X,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Tecno,Phantom X2,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Phantom X2 Pro,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Tecno,Phantom V Fold,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Tecno,Phantom V Flip,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Infinix,Note 7,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Infinix,Note 8,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Infinix,Note 10,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Infinix,Note 11,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Infinix,Note 12,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Infinix,Note 30,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Infinix,Note 40,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 9,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 10,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 11,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 12,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 20,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 30,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Infinix,Hot 40,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Infinix,Zero 8,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Infinix,Zero 20,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Infinix,Zero 30,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Infinix,Zero 40,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Infinix,GT 10 Pro,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Infinix,GT 20 Pro,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
ZTE,Blade V2020,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
ZTE,Blade V2021,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
ZTE,Blade V40,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
ZTE,Blade V50,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 20,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 30,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 40,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 50,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 40 Ultra,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
ZTE,Axon 50 Ultra,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Nubia,Z20,,android,phone,2020,unknown,,unknown,,,,unknown,,low,
Nubia,Z30,,android,phone,2021,unknown,,unknown,,,,unknown,,low,
Nubia,Z40,,android,phone,2022,unknown,,unknown,,,,unknown,,low,
Nubia,Z50,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Nubia,Z60,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
Nubia,Neo 5G,,android,phone,2023,unknown,,unknown,,,,unknown,,low,
Nubia,Flip 5G,,android,phone,2024,unknown,,unknown,,,,unknown,,low,
