brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
nothing,Phone (1),,android,phone,2021,no,,unknown,,,,unknown,,low,"no eSIM"
nothing,Phone (2),,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
nothing,Phone (2a),,android,phone,2024,unknown,,,,,,,unknown,,low,
nothing,Phone (2a) Plus,,android,phone,2024,unknown,,,,,,,unknown,,low,
nothing,Phone (3),,android,phone,2025,unknown,,,,,,,unknown,,low,
nothing,Phone (3a),,android,phone,2025,unknown,,,,,,,unknown,,low,
nothing,Phone (3a) Pro,,android,phone,2025,unknown,,,,,,,unknown,,low,
nothing,CMF Phone 1,,android,phone,2024,unknown,,,,,,,unknown,,low,
nothing,CMF Phone 2,,android,phone,2025,unknown,,,,,,,unknown,,low,
motorola,Edge (2020),,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Edge+ (2020),,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Edge 20,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Edge 20 Pro,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Edge 20 Lite,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Edge 20 Fusion,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Edge 30,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Edge 30 Pro,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Edge 30 Neo,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Edge 30 Fusion,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Edge 40,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Edge 40 Pro,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Edge 40 Neo,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Edge 50,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Edge 50 Pro,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Edge 50 Ultra,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Edge 50 Fusion,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Edge 60,,android,phone,2025,unknown,,,,,,,unknown,,low,
motorola,Moto G8,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G8 Play,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G8 Power,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G8 Stylus,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G9,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G9 Play,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G9 Power,,android,phone,2020,unknown,,,,,,,unknown,,low,
motorola,Moto G10,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G10 Power,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G20,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G30,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G50,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G60,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G100,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G200,,android,phone,2021,unknown,,,,,,,unknown,,low,
motorola,Moto G71,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Moto G82,,android,phone,2022,unknown,,,,,,,unknown,,low,
motorola,Moto G53,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G73,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G84,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G54,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G85,,android,phone,2024,unknown,,,,,,,unknown,,low,
