brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy S9,SM-G960F,android,phone,2018,no,,none,,8.0,10,official,,high,
Samsung,Galaxy S9+,SM-G965F,android,phone,2018,no,,none,,8.0,10,official,,high,
Samsung,Galaxy S10e,SM-G970F,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy S10,SM-G973F,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy S10+,SM-G975F,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy S10 5G,SM-G977B,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy S10 Lite,SM-G770F,android,phone,2020,no,,none,,10.0,13,official,,high,
Samsung,Galaxy S20,SM-G980F,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10.0,13,official,,high,
Samsung,Galaxy S20 5G,SM-G981B,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10.0,13,official,,high,
Samsung,Galaxy S20+,SM-G985F,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10.0,13,official,,high,
Samsung,Galaxy S20+ 5G,SM-G986B,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10.0,13,official,,high,
Samsung,Galaxy S20 Ultra 5G,SM-G988B,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10.0,13,official,,high,
Samsung,Galaxy S20 FE,SM-G780F,android,phone,2020,no,,none,,10.0,13,official,,high,
Samsung,Galaxy S20 FE 5G,SM-G781B,android,phone,2020,no,,none,,10.0,13,official,,high,
Samsung,Galaxy S21 5G,SM-G991B,android,phone,2021,conditional,region:CN=no;region:HK=no,physical+esim,,11.0,15,official,,high,
Samsung,Galaxy S21+ 5G,SM-G996B,android,phone,2021,conditional,region:CN=no;region:HK=no,physical+esim,,11.0,15,official,,high,
Samsung,Galaxy S21 Ultra 5G,SM-G998B,android,phone,2021,conditional,region:CN=no;region:HK=no,physical+esim,,11.0,15,official,,high,
Samsung,Galaxy S21 FE 5G,SM-G990B,android,phone,2022,conditional,region:CN=no=no,physical+esim,,12.0,16,official,,high,
Samsung,Galaxy S22,SM-S901B,android,phone,2022,conditional,region:CN=no;region:HK=no,physical+esim,,12.0,16,parallel,,high,
Samsung,Galaxy S22+,SM-S906B,android,phone,2022,conditional,region:CN=no;region:HK=no,physical+esim,,12.0,16,parallel,,high,
Samsung,Galaxy S22 Ultra,SM-S908B,android,phone,2022,conditional,region:CN=no;region:HK=no,physical+esim,,12.0,16,parallel,,high,
Samsung,Galaxy S23,SM-S911B,android,phone,2023,conditional,region:CN=no;region:HK=no,physical+esim,,13.0,17,parallel,,high,
Samsung,Galaxy S23+,SM-S916B,android,phone,2023,conditional,region:CN=no;region:HK=no,physical+esim,,13.0,17,parallel,,high,
Samsung,Galaxy S23 Ultra,SM-S918B,android,phone,2023,conditional,region:CN=no;region:HK=no,physical+esim,,13.0,17,parallel,,high,
Samsung,Galaxy S23 FE,SM-S711B,android,phone,2023,conditional,region:CN=no,physical+esim,,13.0,17,parallel,,high,
Samsung,Galaxy S24,SM-S921B,android,phone,2024,conditional,region:CN=no;region:HK=no;region:US=esim-only,dual-esim,,14.0,21,parallel,,high,
Samsung,Galaxy S24+,SM-S926B,android,phone,2024,conditional,region:CN=no;region:HK=no;region:US=esim-only,dual-esim,,14.0,21,parallel,,high,
Samsung,Galaxy S24 Ultra,SM-S928B,android,phone,2024,conditional,region:CN=no;region:HK=no,dual-esim,,14.0,21,parallel,,high,
Samsung,Galaxy S24 FE,SM-S721B,android,phone,2024,conditional,region:CN=no,physical+esim,,14.0,21,parallel,,high,
Samsung,Galaxy S25,SM-S931B,android,phone,2025,conditional,region:CN=no;region:HK=no,dual-esim,,15.0,22,parallel,,high,
Samsung,Galaxy S25+,SM-S936B,android,phone,2025,conditional,region:CN=no;region:HK=no,dual-esim,,15.0,22,parallel,,high,
Samsung,Galaxy S25 Ultra,SM-S938B,android,phone,2025,conditional,region:CN=no;region:HK=no,dual-esim,,15.0,22,parallel,,high,
