brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy Fold,,android,phone,2019,conditional,region:CN=no;region:HK=no,physical+esim,,9.0,12,official,,high,
Samsung,Galaxy Z Fold2,,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10,13,official,,high,
Samsung,Galaxy Z Fold3 5G,,android,phone,2021,conditional,region:CN=no;region:HK=no,physical+esim,,11,14,official,,high,
Samsung,Galaxy Z Fold4,,android,phone,2022,conditional,region:CN=no;region:HK=no,physical+esim,,12,14,parallel,,high,
Samsung,Galaxy Z Fold5,,android,phone,2023,conditional,region:CN=no;region:HK=no,physical+esim,,13,14,parallel,,high,
Samsung,Galaxy Z Fold6,,android,phone,2024,conditional,region:CN=no;region:HK=no,physical+esim,,14,14,parallel,,high,
Samsung,Galaxy Z Fold7,,android,phone,2025,conditional,region:CN=no;region:HK=no,physical+esim,,15,15,parallel,,high,
Samsung,Galaxy Z Flip,,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10,12,official,,high,
Samsung,Galaxy Z Flip 5G,,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10,13,official,,high,
Samsung,Galaxy Z Flip3 5G,,android,phone,2021,conditional,region:CN=no;region:HK=no,physical+esim,,11,14,official,,high,
Samsung,Galaxy Z Flip4,,android,phone,2022,conditional,region:CN=no;region:HK=no,physical+esim,,12,14,parallel,,high,
Samsung,Galaxy Z Flip5,,android,phone,2023,conditional,region:CN=no;region:HK=no,physical+esim,,13,14,parallel,,high,
Samsung,Galaxy Z Flip6,,android,phone,2024,conditional,region:CN=no;region:HK=no,physical+esim,,14,14,parallel,,high,
Samsung,Galaxy Z Flip7,,android,phone,2025,conditional,region:CN=no;region:HK=no,physical+esim,,15,15,parallel,,high,
Samsung,Galaxy Z Flip7 FE,,android,phone,2025,conditional,region:CN=no;region:HK=no,physical+esim,,15,15,parallel,,high,
Samsung,Galaxy Note 9,,android,phone,2018,no,,none,,8.1,10,official,,high,
Samsung,Galaxy Note 10,,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy Note 10+,,android,phone,2019,no,,none,,9.0,12,official,,high,
Samsung,Galaxy Note 20,,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10,13,official,,high,
Samsung,Galaxy Note 20 Ultra,,android,phone,2020,conditional,region:CN=no;region:HK=no,physical+esim,,10,13,official,,high,
