brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy A01,SM-A015F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A01 Core,SM-A013F,android,phone,2020,no,,none,,10,10,official,,high,
Samsung,Galaxy A02,SM-A022F,android,phone,2021,no,,none,,10,11,official,,high,
Samsung,Galaxy A02s,SM-A025F,android,phone,2021,no,,none,,10,12,official,,high,
Samsung,Galaxy A03,SM-A035F,android,phone,2022,no,,none,,11,13,official,,high,
Samsung,Galaxy A03 Core,SM-A032F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A03s,SM-A037F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A04,SM-A045F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A04e,SM-A042F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A04s,SM-A047F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A05,SM-A055F,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A05s,SM-A057F,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A06,SM-A065F,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A11,SM-A115F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A12,SM-A125F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A12 Nacho,SM-A127F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A13,SM-A135F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A13 5G,SM-A136B,android,phone,2021,no,,none,,11,14,parallel,,high,
Samsung,Galaxy A14,SM-A145F,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A14 5G,SM-A146B,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A15,SM-A155F,android,phone,2023,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A15 5G,SM-A156B,android,phone,2023,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A16,SM-A165F,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A16 5G,SM-A166B,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A21,SM-A217F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A21s,SM-A217F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A22,SM-A225F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A22 5G,SM-A226B,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A23,SM-A235F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A23 5G,SM-A236B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A24,SM-A245F,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A25 5G,SM-A256B,android,phone,2023,no,,none,,14,14,parallel,,high,
Samsung,Galaxy A31,SM-A315F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A32,SM-A325F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A32 5G,SM-A326B,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy A33 5G,SM-A336B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy A34 5G,SM-A346B,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy A35 5G,SM-A356B,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Samsung,Galaxy A41,SM-A415F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy A42 5G,SM-A426B,android,phone,2020,no,,none,,10,12,parallel,,high,
Samsung,Galaxy A51,SM-A515F,android,phone,2020,no,,none,,10,13,official,,high,
Samsung,Galaxy A51 5G,SM-A516B,android,phone,2020,no,,none,,10,13,parallel,,high,
Samsung,Galaxy A52,SM-A525F,android,phone,2021,no,,none,,11,14,official,,high,
Samsung,Galaxy A52 5G,SM-A526B,android,phone,2021,no,,none,,11,14,parallel,,high,
Samsung,Galaxy A52s 5G,SM-A528B,android,phone,2021,no,,none,,11,14,official,,high,
Samsung,Galaxy A53 5G,SM-A536B,android,phone,2022,conditional,region:EU=yes;region:US=yes;region:CN=no,physical+esim,,12,14,parallel,,high,
Samsung,Galaxy A54 5G,SM-A546B,android,phone,2023,conditional,region:CN=no,physical+esim,,13,14,parallel,,high,
Samsung,Galaxy A55 5G,SM-A556B,android,phone,2024,conditional,region:CN=no,physical+esim,,14,14,parallel,,high,
Samsung,Galaxy A71,SM-A715F,android,phone,2020,no,,none,,10,13,official,,high,
Samsung,Galaxy A71 5G,SM-A716B,android,phone,2020,no,,none,,10,13,parallel,,high,
Samsung,Galaxy A72,SM-A725F,android,phone,2021,no,,none,,11,14,official,,high,
Samsung,Galaxy A73 5G,SM-A736B,android,phone,2022,no,,none,,12,14,parallel,,high,
