brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy M01,SM-M015F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M01s,SM-M017F,android,phone,2020,no,,none,,10,11,official,,high,
Samsung,Galaxy M01 Core,SM-M013F,android,phone,2020,no,,none,,10,10,official,,high,
Samsung,Galaxy M02,SM-M025F,android,phone,2021,no,,none,,10,11,official,,high,
Samsung,Galaxy M02s,SM-M025F,android,phone,2021,no,,none,,10,12,official,,high,
Samsung,Galaxy M04,SM-M045F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M05,SM-M055F,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy M11,SM-M115F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M12,SM-M127F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy M13,SM-M135F,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M13 5G,SM-M136B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M14 5G,SM-M146B,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy M14 4G,SM-M145F,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy M15 5G,SM-M156B,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy M21,SM-M215F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M21s,SM-M217F,android,phone,2020,no,,none,,10,12,none,,high,
Samsung,Galaxy M21 2021 Edition,SM-M215G,android,phone,2021,no,,none,,11,12,official,,high,
Samsung,Galaxy M22,SM-M225F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy M23 5G,SM-M236B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M31,SM-M315F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M31s,SM-M317F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M31 Prime Edition,SM-M315F,android,phone,2020,no,,none,,10,12,none,,high,
Samsung,Galaxy M32,SM-M325F,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy M32 5G,SM-M326B,android,phone,2021,no,,none,,11,13,parallel,,high,
Samsung,Galaxy M33 5G,SM-M336B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M34 5G,SM-M346B,android,phone,2023,no,,none,,13,14,parallel,,high,
Samsung,Galaxy M35 5G,SM-M356B,android,phone,2024,no,,none,,14,14,parallel,,high,
Samsung,Galaxy M51,SM-M515F,android,phone,2020,no,,none,,10,12,official,,high,
Samsung,Galaxy M52 5G,SM-M526B,android,phone,2021,no,,none,,11,13,official,,high,
Samsung,Galaxy M53 5G,SM-M536B,android,phone,2022,no,,none,,12,14,parallel,,high,
Samsung,Galaxy M54 5G,SM-M546B,android,phone,2023,conditional,region:EU=physical+esim,physical+esim,,13,14,parallel,,high,
Samsung,Galaxy M55 5G,SM-M556B,android,phone,2024,conditional,region:EU=physical+esim,physical+esim,,14,14,parallel,,high,
Samsung,Galaxy M55s 5G,SM-M556B,android,phone,2024,unknown,,unknown,,14,14,parallel,,medium,
