brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Mi 9,M1902F1G,android,phone,2019,no,,none,,9.0,11.0,official,,high,
Xiaomi,Mi 9 Pro,M1908F1XE,android,phone,2019,no,,none,,9.0,11.0,none,,high,
Xiaomi,Mi 10,M2001J2G,android,phone,2020,no,,none,,10.0,13.0,official,,high,
Xiaomi,Mi 10 Pro,M2001J1G,android,phone,2020,no,,none,,10.0,13.0,official,,high,
Xiaomi,Mi 10 Ultra,M2007J1SC,android,phone,2020,no,,none,,10.0,13.0,none,,high,
Xiaomi,Mi 11,M2011K2G,android,phone,2021,no,,none,,11.0,14.0,official,,high,
Xiaomi,Mi 11 Pro,M2102K1C,android,phone,2021,no,,none,,11.0,14.0,none,,high,
Xiaomi,Mi 11 Ultra,M2102K1G,android,phone,2021,no,,none,,11.0,14.0,official,,high,
Xiaomi,Xiaomi 12,2201123G,android,phone,2022,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,12.0,15.0,official,,high,
Xiaomi,Xiaomi 12 Pro,2201122G,android,phone,2022,no,,none,,12.0,15.0,official,,high,
Xiaomi,Xiaomi 12S,2206123SC,android,phone,2022,no,,none,,12.0,14.0,none,,high,
Xiaomi,Xiaomi 12S Pro,2206122SC,android,phone,2022,no,,none,,12.0,14.0,none,,high,
Xiaomi,Xiaomi 12S Ultra,2203121C,android,phone,2022,no,,none,,12.0,14.0,none,,high,
Xiaomi,Xiaomi 13,2211133G,android,phone,2022,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,13.0,15.0,official,,high,
Xiaomi,Xiaomi 13 Pro,2210132G,android,phone,2022,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,13.0,15.0,official,,high,
Xiaomi,Xiaomi 13 Ultra,2304FPN6D,android,phone,2023,no,,none,,13.0,15.0,official,,high,
Xiaomi,Xiaomi 14,23127PN0CG,android,phone,2023,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,14.0,15.0,official,,high,
Xiaomi,Xiaomi 14 Pro,23116PN5BC,android,phone,2023,no,,none,,14.0,15.0,parallel,,high,
Xiaomi,Xiaomi 14 Ultra,24030PN60G,android,phone,2024,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,14.0,15.0,official,,high,
Xiaomi,Xiaomi 15,24129PN74G,android,phone,2024,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,15.0,15.0,parallel,,high,
Xiaomi,Xiaomi 15 Pro,24101PNB7C,android,phone,2024,no,,none,,15.0,15.0,none,,high,
Xiaomi,Xiaomi 15 Ultra,,android,phone,2025,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,15.0,15.0,parallel,,medium,
Xiaomi,Mi 9T,M1903F10G,android,phone,2019,no,,none,,9.0,11.0,official,,high,
Xiaomi,Mi 9T Pro,M1903F11G,android,phone,2019,no,,none,,9.0,10.0,official,,high,
Xiaomi,Xiaomi 11T,21081111RG,android,phone,2021,no,,none,,11.0,14.0,official,,high,
Xiaomi,Xiaomi 11T Pro,2107113SG,android,phone,2021,no,,none,,11.0,14.0,official,,high,
Xiaomi,Xiaomi 12T,22071212AG,android,phone,2022,no,,none,,12.0,15.0,official,,high,
Xiaomi,Xiaomi 12T Pro,22081212UG,android,phone,2022,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,12.0,15.0,official,,high,
Xiaomi,Xiaomi 13T,2306EPN60G,android,phone,2023,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,13.0,15.0,official,,high,
Xiaomi,Xiaomi 13T Pro,23078PND5G,android,phone,2023,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,13.0,15.0,official,,high,
Xiaomi,Xiaomi 14T,2406APNFAG,android,phone,2024,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,14.0,15.0,official,,high,
Xiaomi,Xiaomi 14T Pro,2407FPN8EG,android,phone,2024,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,14.0,15.0,official,,high,
Xiaomi,Xiaomi 15T,,android,phone,2025,unknown,,,unknown,,,parallel,,low,
Xiaomi,Xiaomi 15T Pro,,android,phone,2025,unknown,,,unknown,,,parallel,,low,
Xiaomi,Mix Fold,M2011J18C,android,phone,2021,no,,none,,11.0,13.0,none,,high,
Xiaomi,Mix Fold 2,22061218C,android,phone,2022,no,,none,,12.0,14.0,parallel,,high,
Xiaomi,Mix Fold 3,2308CPXD0C,android,phone,2023,no,,none,,13.0,15.0,parallel,,high,
Xiaomi,MIX Fold 4,24072PX77C,android,phone,2024,no,,none,,14.0,15.0,parallel,,high,
Xiaomi,MIX Flip,2405CPX3DG,android,phone,2024,conditional,region:CN=no;region:GLOBAL=yes,physical+esim,,14.0,15.0,official,,high,
