brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Redmi Note 8,"M1908C3JE, M1908C3JH, M1908C3XG",android,phone,2019,no,,,,9.0,11.0,official,,high,
Xiaomi,Redmi Note 8T,M1908C3XG,android,phone,2019,no,,,,9.0,11.0,official,,high,
Xiaomi,Redmi Note 8 Pro,"M1908C3I, M1908C3XG",android,phone,2019,no,,,,9.0,11.0,official,,high,
Xiaomi,Redmi Note 8 (2021),M2101K19G,android,phone,2021,no,,,,11.0,12.0,official,,high,
Xiaomi,Redmi Note 9,"M2003J15SC, M2003J15SG",android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9S,M2003J6A1G,android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9 Pro,"M2003J6E1C, M2003J6B2G",android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9 Pro Max,M2003J6A1I,android,phone,2020,no,,,,10.0,12.0,none,,high,
Xiaomi,Redmi Note 9 4G,M2010J19SC,android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9 5G,M2007J22C,android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9T,M2007J22G,android,phone,2021,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 9 Pro 5G,M2007J17C,android,phone,2020,no,,,,10.0,12.0,official,,high,
Xiaomi,Redmi Note 10,"M2101K7AG, M2101K7AI",android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi Note 10S,"M2101K7BNY, M2101K7BG",android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi Note 10 5G,"M2103K19G, M2103K19C",android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi Note 10T 5G,M2103K19I,android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi Note 10 Pro,"M2101K6G, M2101K6R",android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi Note 10 Pro Max,M2101K6I,android,phone,2021,no,,,,11.0,13.0,none,,high,
