brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Redmi 9,M2004J19G,android,phone,2020,no,,,none,,10,12,official,,high,
Xiaomi,Redmi 9A,M2006C3LG,android,phone,2020,no,,,none,,10,11,official,,high,
Xiaomi,Redmi 9C,M2006C3MG,android,phone,2020,no,,,none,,10,11,official,,high,
Xiaomi,Redmi 9T,M2010J19SG,android,phone,2021,no,,,none,,10,12,official,,high,
Xiaomi,Redmi 10,21061119AG,android,phone,2021,no,,,none,,11,13,official,,high,
Xiaomi,Redmi 10A,220233L22G,android,phone,2022,no,,,none,,11,12,official,,high,
Xiaomi,Redmi 10C,220333QNY,android,phone,2022,no,,,none,,11,13,official,,high,
Xiaomi,Redmi 12,23053RN02Y,android,phone,2023,conditional,region:GL=yes;region:IN=no,physical+esim,,13,14,official,,high,Версия 23053RN02Y поддерживает eSIM
Xiaomi,Redmi 12C,2212ARNC4L,android,phone,2022,no,,,none,,12,14,official,,high,
Xiaomi,Redmi 13,24040RN64Y,android,phone,2024,conditional,region:GL=yes,physical+esim,,14,14,official,,high,
Xiaomi,Redmi 13C,2310FPCA4G,android,phone,2023,no,,,none,,13,14,official,,high,
Xiaomi,Redmi 14C,2409BRN2CY,android,phone,2024,no,,,none,,14,14,official,,high,
Xiaomi,Redmi A1,220733SL,android,phone,2022,no,,,none,,12,12,official,,high,
Xiaomi,Redmi A2,23028RN4DG,android,phone,2023,no,,,none,,13,13,official,,high,
Xiaomi,Redmi A3,23129RN51X,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO F2 Pro,M2004J11G,android,phone,2020,no,,,none,,10,12,official,,high,
POCO,POCO F3,M2012K11AG,android,phone,2021,no,,,none,,11,13,official,,high,
POCO,POCO F4,22021211RG,android,phone,2022,no,,,none,,12,14,official,,high,
POCO,POCO F4 GT,21121210G,android,phone,2022,no,,,none,,12,14,official,,high,
POCO,POCO F5,23049PCD8G,android,phone,2023,no,,,none,,13,14,official,,high,
POCO,POCO F5 Pro,23013PC75G,android,phone,2023,no,,,none,,13,14,official,,high,
POCO,POCO F6,24069PC21G,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO F6 Pro,24069PC21G,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO X3 NFC,M2007J20CG,android,phone,2020,no,,,none,,10,12,official,,high,
POCO,POCO X3 Pro,M2102J20SG,android,phone,2021,no,,,none,,11,13,official,,high,
POCO,POCO X3 GT,21061110AG,android,phone,2021,no,,,none,,11,13,official,,high,
POCO,POCO X4 Pro 5G,2201116PG,android,phone,2022,no,,,none||,11,13,official,,high,
POCO,POCO X4 GT,22041216G,android,phone,2022,no,,,none,,12,14,official,,high,
POCO,POCO X5 5G,22111317PG,android,phone,2023,no,,,none,,12,14,official,,high,
POCO,POCO X5 Pro 5G,22101320G,android,phone,2023,no,,,none,,12,14,official,,high,
POCO,POCO X6 5G,23122PCD1G,android,phone,2024,no,,,none,,13,14,official,,high,
POCO,POCO X6 Pro,2311DRK48G,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO X6 Neo,2312FRAFDI,android,phone,2024,no,,,none,,13,14,parallel,,high,
POCO,POCO M2,M2004J19PI,android,phone,2020,no,,,none,,10,12,parallel,,high,
POCO,POCO M2 Pro,M2003J6CI,android,phone,2020,no,,,none,,10,12,parallel,,high,
POCO,POCO M3,M2010J19CG,android,phone,2020,no,,,none,,10,12,official,,high,
POCO,POCO M3 Pro 5G,M2103K19G,android,phone,2021,no,,,none,,11,13,official,,high,
POCO,POCO M4 Pro,2201117PG,android,phone,2022,no,,,none,,11,13,official,,high,
POCO,POCO M4 Pro 5G,21091116AG,android,phone,2021,no,,,none,,11,13,official,,high,
POCO,POCO M4 5G,22041219PG,android,phone,2022,no,,,none,,12,13,official,,high,
POCO,POCO M5,22071219CG,android,phone,2022,no,,,none,,12,14,official,,high,
POCO,POCO M5s,2207117BPG,android,phone,2022,no,,,none,,12,13,official,,high,
POCO,POCO M6,2404ARN45G,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO M6 Pro,23122PCD1G,android,phone,2024,no,,,none,,13,14,official,,high,
POCO,POCO M6 Pro 5G,23076PC4BI,android,phone,2023,no,,,none,,13,14,parallel,,high,
POCO,POCO M6 5G,23128PC3GI,android,phone,2023,no,,,none,,13,14,parallel,,high,
POCO,POCO C3,M2006C3MII,android,phone,2020,no,,,none,,10,10,parallel,,high,
POCO,POCO C31,211033MI,android,phone,2021,no,,,none,,10,10,parallel,,high,
POCO,POCO C40,220333QPG,android,phone,2022,no,,,none,,11,11,official,,high,
POCO,POCO C50,221111A11I,android,phone,2023,no,,,none,,12,12,parallel,,high,
POCO,POCO C51,23028RNCAG,android,phone,2023,no,,,none,,13,13,official,,high,
POCO,POCO C55,22127PC9GI,android,phone,2023,no,,,none,,12,14,parallel,,high,
POCO,POCO C61,23124RN87I,android,phone,2024,no,,,none,,14,14,parallel,,high,
POCO,POCO C65,2310FPCA4G,android,phone,2023,no,,,none,,13,14,official,,high,
Xiaomi,Redmi 10 2022,21121119SG,android,phone,2022,no,,,none,,11,13,official,,high,
Xiaomi,Redmi 10 5G,22041219G,android,phone,2022,no,,,none,,12,13,official,,high,
Xiaomi,Redmi 10 Power,220333QBI,android,phone,2022,no,,,none,,11,13,parallel,,high,
Xiaomi,Redmi 10 Prime,21061119BI,android,phone,2021,no,,,none,,11,13,parallel,,high,
Xiaomi,Redmi 10 Prime 2022,21061119BI,android,phone,2022,no,,,none,,11,13,parallel,,high,
Xiaomi,Redmi 13 5G,2406ERN9CI,android,phone,2024,no,,,none,,14,14,parallel,,high,
Xiaomi,Redmi 13R,23124RN87C,android,phone,2023,no,,,none,,13,13,none,,high,
Xiaomi,Redmi 14R 5G,2409DRN2CC,android,phone,2024,no,,,none,,14,14,none,,high,
Xiaomi,Redmi A2+,23028RNCAG,android,phone,2023,no,,,none,,13,13,official,,high,
Xiaomi,Redmi A3x,24048RN6CG,android,phone,2024,no,,,none,,14,14,official,,high,
Xiaomi,Redmi A3 Pro,2409BRN2CB,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO C63,2310FPCA4G,android,phone,2024,no,,,none,,13,14,official,,high,
POCO,POCO C75,2410FPCC5G,android,phone,2024,no,,,none,,14,14,official,,high,
POCO,POCO M3 Pro,M2103K19PI,android,phone,2021,no,,,none,,11,13,parallel,,high,
POCO,POCO M6 Plus 5G,24069PC21I,android,phone,2024,no,,,none,,14,14,parallel,,high,
POCO,POCO X3,M2007J20CG,android,phone,2020,no,,,none,,10,12,official,,high
