brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Huawei,P30,ELE-L29,android,phone,2019,no,,none,,9.0,10.0,official,,high,ELE-L09 is single SIM
Huawei,P30 Pro,VOG-L29,android,phone,2019,conditional,region:CN=no,physical+esim,1,9.0,10.0,official,,high,eSIM support available on global VOG-L29 / VOG-L09 models
Huawei,P40,ANA-NX9,android,phone,2020,conditional,region:CN=no,physical+esim,1,10.0,10.0,official,,high,eSIM on global ANA-NX9
Huawei,P40 Pro,ELS-NX9,android,phone,2020,conditional,region:CN=no,physical+esim,1,10.0,10.0,official,,high,eSIM on global ELS-NX9
Huawei,P40 Pro+,"ELS-N39,ELS-AN10",android,phone,2020,no,,none,,10.0,10.0,official,,high,Dual physical SIM only
Huawei,P50,ABR-LX9,harmonyos,phone,2021,no,,none,,11.0,11.0,official,,high,
Huawei,P50 Pro,JAD-LX9,harmonyos,phone,2021,no,,none,,11.0,11.0,official,,high,
Huawei,P50 Pocket,BAL-L29,harmonyos,phone,2021,no,,none,,11.0,11.0,official,,high,
Huawei,P60,LNA-LX9,harmonyos,phone,2023,no,,none,,13.0,13.0,official,,high,
Huawei,P60 Pro,MNA-LX9,harmonyos,phone,2023,no,,none,,13.0,13.0,official,,high,
Huawei,P60 Art,MNA-AL00,harmonyos,phone,2023,no,,none,,13.0,13.0,parallel,,high,
Huawei,Pura 70,HMY-LX9,harmonyos,phone,2024,no,,none,,14.0,14.0,official,,high,
Huawei,Pura 70 Pro,HBP-LX9,harmonyos,phone,2024,no,,none,,14.0,14.0,official,,high,
Huawei,Pura 70 Ultra,HGL-LX9,harmonyos,phone,2024,no,,none,,14.0,14.0,official,,high,
Huawei,Pura 80,,,phone,2025,unknown,,,unknown,,,unknown,,medium,Unreleased or unconfirmed at generation time
Huawei,Pura 80 Pro,,,phone,2025,unknown,,,unknown,,,unknown,,medium,Unreleased or unconfirmed at generation time
Huawei,Pura 80 Ultra,,,phone,2025,unknown,,,unknown,,,unknown,,medium,Unreleased or unconfirmed at generation time
Huawei,Mate 20,HMA-L29,android,phone,2018,no,,none,,9.0,10.0,official,,high,
Huawei,Mate 20 Pro,LYA-L29,android,phone,2018,no,,none,,9.0,10.0,official,,high,
Huawei,Mate 20 X,EVR-L29,android,phone,2018,no,,none,,9.0,10.0,official,,high,
Huawei,Mate 30,TAS-L29,android,phone,2019,no,,none,,10.0,10.0,official,,high,
Huawei,Mate 30 Pro,LIO-L29,android,phone,2019,no,,none,,10.0,10.0,official,,high,
Huawei,Mate 40,OCE-AN00,android,phone,2020,no,,none,,10.0,10.0,parallel,,high,
Huawei,Mate 40 Pro,NOP-AN00,android,phone,2020,conditional,region:CN=no,physical+esim,1,10.0,10.0,official,,high,eSIM supported on specific global versions like NOP-LX9
Huawei,Mate 40 Pro+,NOP-AN10,android,phone,2020,no,,none,,10.0,10.0,parallel,,high,
Huawei,Mate 50,CET-LX9,harmonyos,phone,2022,no,,none,,12.0,12.0,official,,high,
Huawei,Mate 50 Pro,DCO-LX9,harmonyos,phone,2022,no,,none,,12.0,12.0,official,,high,
Huawei,Mate X,TAH-AN00,android,phone,2019,no,,none,,9.0,10.0,parallel,,high,
Huawei,Mate Xs,TAH-N29m,android,phone,2020,no,,none,,10.0,10.0,official,,high,
Huawei,Mate X2,TET-AN00,android,phone,2021,no,,none,,10.0,10.0,parallel,,high,
Huawei,Mate X3,ALT-L29,harmonyos,phone,2023,no,,none,,13.0,13.0,official,,high,
Huawei,Mate X5,ALT-AL10,harmonyos,phone,2023,no,,none,,13.0,13.0,parallel,,high,
Huawei,Mate X6,,,harmonyos,phone,2024,no,,none,,,official,,medium,
Huawei,Mate 60,BRA-AL00,harmonyos,phone,2023,no,,none,,13.0,13.0,parallel,,high,
Huawei,Mate 60 Pro,ALN-AL00,harmonyos,phone,2023,no,,none,,13.0,13.0,parallel,,high,
Huawei,Mate 60 Pro+,ALN-AL10,harmonyos,phone,2023,no,,none,,13.0,13.0,parallel,,high,
Huawei,Mate 70,,,harmonyos,phone,2024,no,,none,,,parallel,,medium,
Huawei,Mate 70 Pro,,,harmonyos,phone,2024,no,,none,,,parallel,,medium,
Huawei,Mate 70 Pro+,,,harmonyos,phone,2024,no,,none,,,parallel,,medium,
Huawei,Nova 5, SEA-AL00,android,phone,2019,no,,none,,9.0,10.0,parallel,,high,
Huawei,Nova 5 Pro,SEA-AL10,android,phone,2019,no,,none,,9.0,10.0,parallel,,high,
Huawei,Nova 5T,YAL-L21,android,phone,2019,no,,none,,9.0,10.0,official,,high,
Huawei,Nova 5i,GLK-LX1,android,phone,2019,no,,none,,9.0,9.0,official,,high,
Huawei,Nova 5i Pro,SPN-AL00,android,phone,2019,no,,none,,9.0,9.0,parallel,,high,
