brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
realme,6,RMX2001,android,phone,2020,no,,none,,10,,official,,high,
realme,6i,RMX2040,android,phone,2020,no,,none,,10,,official,,high,
realme,6 Pro,RMX2061,android,phone,2020,no,,none,,10,,official,,high,
realme,7,RMX2151,android,phone,2020,no,,none,,10,,official,,high,
realme,7 5G,RMX2111,android,phone,2020,no,,none,,10,,official,,high,
realme,7 Pro,RMX2170,android,phone,2020,no,,none,,10,,official,,high,
realme,8,RMX3085,android,phone,2021,no,,none,,11,,official,,high,
realme,8 5G,RMX3241,android,phone,2021,no,,none,,11,,official,,high,
realme,8i,RMX3151,android,phone,2021,no,,none,,11,,official,,high,
realme,8 Pro,RMX3081,android,phone,2021,no,,none,,11,,official,,high,
realme,9,RMX3521,android,phone,2022,no,,none,,12,,official,,high,
realme,9 5G,RMX3888,android,phone,2022,no,,none,,12,,official,,high,
realme,9i,RMX3612,android,phone,2022,no,,none,,11,,official,,high,
realme,9 Pro,RMX3472,android,phone,2022,no,,none,,12,,official,,high,
realme,9 Pro+,RMX3393,android,phone,2022,no,,none,,12,,official,,high,
realme,10,RMX3630,android,phone,2022,no,,none,,12,,official,,high,
realme,10 Pro,RMX3661,android,phone,2022,no,,none,,13,,official,,high,
realme,10 Pro+,RMX3686,android,phone,2022,no,,none,,13,,official,,high,
realme,11,RMX3636,android,phone,2023,no,,none,,13,,official,,high,
realme,11 5G,RMX3780,android,phone,2023,no,,none,,13,,official,,high,
realme,11x 5G,RMX3785,android,phone,2023,no,,none,,13,,official,,high,
realme,11 Pro,RMX3771,android,phone,2023,no,,none,,13,,official,,high,
realme,11 Pro+,RMX3741,android,phone,2023,no,,none,,13,,official,,high,
realme,12 5G,RMX3999,android,phone,2024,no,,none,,14,,official,,high,
realme,12+ 5G,RMX3867,android,phone,2024,no,,none,,14,,official,,high,
realme,12 Pro 5G,RMX3842,android,phone,2024,no,,none,,14,,official,,high,
realme,12 Pro+ 5G,RMX3840,android,phone,2024,no,,none,,14,,official,,high,
realme,GT 5G,RMX2202,android,phone,2021,no,,none,,11,,official,,high,
realme,GT Master Edition,RMX3363,android,phone,2021,no,,none,,11,,official,,high,
realme,GT Neo,RMX3031,android,phone,2021,no,,none,,11,,parallel,,high,
realme,GT Neo 2,RMX3370,android,phone,2021,no,,none,,11,,official,,high,
realme,GT2,RMX3311,android,phone,2022,no,,none,,12,,official,,high,
realme,GT2 Pro,RMX3301,android,phone,2022,conditional,region:GLOBAL=physical+esim;region:CN=none,physical+esim,1,12,,official,,high,
realme,GT Neo 3,RMX3561,android,phone,2022,no,,none,,12,,parallel,,high,
realme,GT Neo 3T,RMX3371,android,phone,2022,no,,none,,12,,official,,high,
realme,GT3,RMX3709,android,phone,2023,no,,none,,13,,official,,high,
realme,GT Neo 5,RMX3706,android,phone,2023,no,,none,,13,,parallel,,high,
realme,GT Neo 5 SE,RMX3700,android,phone,2023,no,,none,,13,,parallel,,high,
realme,GT5,RMX3702,android,phone,2023,no,,none,,13,,parallel,,high,
realme,GT5 Pro,RMX3888,android,phone,2023,no,,none,,14,,parallel,,high,
realme,GT 6,RMX3851,android,phone,2024,conditional,region:GLOBAL=physical+esim;region:CN=none,physical+esim,1,14,,official,,high,
realme,GT 6T,RMX3853,android,phone,2024,no,,none,,14,,official,,high,
realme,C11,RMX2181,android,phone,2020,no,,none,,10,,official,,high,
realme,C12,RMX2189,android,phone,2020,no,,none,,10,,official,,high,
realme,C15,RMX2180,android,phone,2020,no,,none,,10,,official,,high,
realme,C21,RMX3201,android,phone,2021,no,,none,,10,,official,,high,
realme,C21Y,RMX3261,android,phone,2021,no,,none,,11,,official,,high,
realme,C25,RMX3191,android,phone,2021,no,,none,,11,,official,,high,
