brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
vivo,X50,V2001A,android,phone,2020,no,,none,,10,12,official,,high,
vivo,X50 Pro,V2005A,android,phone,2020,no,,none,,10,12,official,,high,
vivo,X50 Pro+,V2011A,android,phone,2020,no,,none,,10,12,none,,high,
vivo,X60,V2046A,android,phone,2020,no,,none,,11,13,official,,high,
vivo,X60 Pro,V2047A,android,phone,2020,no,,none,,11,13,official,,high,
vivo,X60 Pro+,V2056A,android,phone,2021,no,,none,,11,13,official,,high,
vivo,X70,V2104,android,phone,2021,no,,none,,11,13,official,,high,
vivo,X70 Pro,V2105,android,phone,2021,no,,none,,11,13,official,,high,
vivo,X70 Pro+,V2145A,android,phone,2021,no,,none,,11,13,parallel,,high,
vivo,X80,V2183A,android,phone,2022,no,,none,,12,14,official,,high,
vivo,X80 Pro,V2185A,android,phone,2022,no,,none,,12,14,official,,high,
vivo,X90,V2241A,android,phone,2022,no,,none,,13,14,parallel,,high,
vivo,X90 Pro,V2242A,android,phone,2022,conditional,region:EU=physical+esim;region:CN=no,,13,14,official,,high,
vivo,X90 Pro+,V2227A,android,phone,2022,no,,none,,13,14,none,,high,
vivo,X100,V2309A,android,phone,2023,no,,none,,14,14,official,,high,
vivo,X100 Pro,V2324A,android,phone,2023,conditional,region:EU=physical+esim;region:CN=no,,14,14,official,,high,
vivo,X100 Ultra,V2366GA,android,phone,2024,no,,none,,14,14,none,,high,
vivo,V20,V2025,android,phone,2020,no,,none,,10,13,official,,high,
vivo,V20 SE,V2022,android,phone,2020,no,,none,,10,12,official,,high,
vivo,V21,V2050,android,phone,2021,no,,none,,11,13,official,,high,
vivo,V21e,V2055,android,phone,2021,no,,none,,11,13,official,,high,
vivo,V23 5G,V2130,android,phone,2022,no,,none,,12,14,official,,high,
vivo,V23e,V2116,android,phone,2021,no,,none,,11,13,official,,high,
vivo,V25 5G,V2202,android,phone,2022,no,,none,,12,14,official,,high,
vivo,V25 Pro,V2158,android,phone,2022,no,,none,,12,14,official,,high,
vivo,V27 5G,V2246,android,phone,2023,no,,none,,13,14,official,,high,
vivo,V27 Pro,V2230,android,phone,2023,no,,none,,13,14,none,,high,
vivo,V29 5G,V2250,android,phone,2023,conditional,region:EU=physical+esim;region:RU=no;region:CN=no,,13,14,official,,high,
vivo,V29 Pro,V2251,android,phone,2023,no,,none,,13,14,none,,high,
vivo,V30 5G,V2318,android,phone,2024,conditional,region:EU=physical+esim;region:RU=no,,14,14,official,,high,
vivo,V30 Pro,V2319,android,phone,2024,no,,none,,14,14,official,,high,
vivo,Y20,V2029,android,phone,2020,no,,none,,10,12,official,,high,
vivo,Y31,V2036,android,phone,2021,no,,none,,11,13,official,,high,
vivo,Y53s,V2058,android,phone,2021,no,,none,,11,13,official,,high,
vivo,Y33s,V2109,android,phone,2021,no,,none,,11,13,official,,high,
vivo,Y35,V2205,android,phone,2022,no,,none,,12,14,official,,high,
vivo,Y22,V2207,android,phone,2022,no,,none,,12,14,official,,high,
vivo,Y36,V2247,android,phone,2023,no,,none,,13,14,official,,high,
vivo,Y27 5G,V2302,android,phone,2023,no,,none,,13,14,official,,high,
vivo,Y100 5G,V2313,android,phone,2024,no,,none,,14,14,official,,high,
vivo,Y200 5G,V2307,android,phone,2023,no,,none,,13,14,parallel,,high,
iQOO,iQOO 3 5G,I1927,android,phone,2020,no,,none,,10,12,parallel,,high,
iQOO,iQOO 5,V2024A,android,phone,2020,no,,none,,10,12,none,,high,
iQOO,iQOO 5 Pro,V2025A,android,phone,2020,no,,none,,10,12,none,,high,
iQOO,iQOO 7,V2049A,android,phone,2021,no,,none,,11,13,none,,high,
iQOO,iQOO 8,V2136A,android,phone,2021,no,,none,,11,13,none,,high,
iQOO,iQOO 8 Pro,V2141A,android,phone,2021,no,,none,,11,13,none,,high,
