brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Tecno,Phantom V Fold,AD10,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Phantom V Flip,AD11,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Phantom X2 Pro,AD9,android,phone,2022,no,,none,,12,14,official,,high,
Tecno,Phantom X2,AD8,android,phone,2022,no,,none,,12,14,official,,high,
Tecno,Phantom X,AC8,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Camon 30 Premier 5G,,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Camon 30 Pro 5G,,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Camon 30 5G,,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Camon 30,,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Camon 20 Premier 5G,CK9n,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Camon 20 Pro 5G,CK8n,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Camon 20 Pro,CK7n,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Camon 20,CK6n,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Camon 19 Pro 5G,CI8,android,phone,2022,no,,none,,12,13,official,,high,
Tecno,Camon 19 Pro,CI8n,android,phone,2022,no,,none,,12,13,official,,high,
Tecno,Camon 19,CI6n,android,phone,2022,no,,none,,12,13,official,,high,
Tecno,Camon 18 Pro,CH7n,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Camon 18 Premier,CH9,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Camon 18P,CH7,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Camon 18,CH6n,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Camon 17 Pro,CG8,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Spark 20 Pro+,KJ7,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Spark 20 Pro,KJ6,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Spark 20,KJ5,android,phone,2023,no,,none,,13,14,official,,high,
Tecno,Spark 10 Pro,KI7,android,phone,2023,no,,none,,13,13,official,,high,
Tecno,Spark 9 Pro,KH7,android,phone,2022,no,,none,,12,12,official,,high,
Tecno,Spark 8 Pro,KG8,android,phone,2021,no,,none,,11,11,official,,high,
Tecno,Pova 6 Pro 5G,LI9,android,phone,2024,no,,none,,14,14,official,,high,
Tecno,Pova 5 Pro 5G,LH8n,android,phone,2023,no,,none,,13,14,official,,high,
