brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Nothing,Phone (1),A063,android,phone,2022,no,,none,,12,14,parallel,,high,
Nothing,Phone (2),A065,android,phone,2023,no,,none,,13,14,parallel,,high,
Nothing,Phone (2a),A142,android,phone,2024,no,,none,,14,14,parallel,,high,
Nothing,Phone (2a) Plus,,android,phone,2024,no,,none,,14,14,parallel,,high,
Nothing,Phone (3),,android,phone,2025,unknown,,,unknown,,,unknown,,medium,Stopped at Nothing Phone (3) due to context limits
Nothing,Phone (3a),,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Nothing,Phone (3a) Pro,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Nothing,CMF Phone 1,A015,android,phone,2024,no,,none,,14,14,parallel,,high,
Nothing,CMF Phone 2,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Motorola,Edge,XT2063-3,android,phone,2020,no,,none,,10,12,parallel,,high,
Motorola,Edge+,XT2061-3,android,phone,2020,no,,none,,10,12,parallel,,high,
Motorola,Edge 20,XT2143-1,android,phone,2021,no,,none,,11,13,parallel,,high,
Motorola,Edge 20 Lite,XT2139-1,android,phone,2021,no,,none,,11,13,parallel,,high,
Motorola,Edge 20 Pro,XT2153-1,android,phone,2021,no,,none,,11,13,parallel,,high,
Motorola,Edge 30,XT2203-1,android,phone,2022,conditional,region:EU=yes;region:IN=no,physical+esim,,12,14,parallel,,high,
Motorola,Edge 30 Pro,XT2201-1,android,phone,2022,no,,none,,12,14,parallel,,high,
Motorola,Edge 30 Neo,XT2245-1,android,phone,2022,conditional,region:EU=yes,physical+esim,,12,14,parallel,,high,
Motorola,Edge 30 Fusion,XT2243-1,android,phone,2022,conditional,region:EU=yes,physical+esim,,12,14,parallel,,high,
Motorola,Edge 30 Ultra,XT2241-1,android,phone,2022,conditional,region:EU=yes,physical+esim,,12,14,parallel,,high,
Motorola,Edge 40,XT2303-2,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Motorola,Edge 40 Pro,XT2301-4,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Motorola,Edge 40 Neo,XT2307-1,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Motorola,Edge 50 Pro,XT2403-2,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Edge 50 Ultra,XT2401-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Edge 50 Fusion,XT2429-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Edge 50 Neo,XT2433-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Edge 60,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Motorola,Edge 60 Pro,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Motorola,Edge 60 Fusion,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Motorola,Edge 60 Stylus,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Motorola,Moto G8,XT2045-1,android,phone,2020,no,,none,,10,11,official,,high,
Motorola,Moto G8 Power,XT2041-1,android,phone,2020,no,,none,,10,11,official,,high,
Motorola,Moto G8 Play,XT2015-2,android,phone,2019,no,,none,,9.0,10,official,,high,
Motorola,Moto G8 Stylus,XT2043-4,android,phone,2020,no,,none,,10,11,parallel,,high,
Motorola,Moto G9 Play,XT2083-1,android,phone,2020,no,,none,,10,11,official,,high,
Motorola,Moto G9 Plus,XT2087-2,android,phone,2020,no,,none,,10,11,official,,high,
Motorola,Moto G9 Power,XT2091-3,android,phone,2020,no,,none,,10,11,official,,high,
Motorola,Moto G10,XT2127-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G20,XT2128-1,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G30,XT2129-1,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G40 Fusion,XT2137-1,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G50,XT2137-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G60,XT2135-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G100,XT2125-4,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G22,XT2231-2,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G31,XT2173-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G41,XT2167-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G51 5G,XT2171-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G71 5G,XT2169-1,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G200 5G,XT2175-2,android,phone,2021,no,,none,,11,12,parallel,,high,
Motorola,Moto G32,XT2235-2,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G42,XT2233-2,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G52,XT2221-1,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G62 5G,XT2223-1,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G72,XT2255-2,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G82 5G,XT2225-1,android,phone,2022,no,,none,,12,13,parallel,,high,
Motorola,Moto G13,XT2331-1,android,phone,2023,no,,none,,13,14,parallel,,high,
Motorola,Moto G23,XT2333-1,android,phone,2023,no,,none,,13,14,parallel,,high,
Motorola,Moto G53 5G,XT2335-2,android,phone,2023,conditional,region:EU=yes;region:LATAM=no,physical+esim,,13,14,parallel,,high,
Motorola,Moto G73 5G,XT2237-2,android,phone,2023,no,,none,,13,14,parallel,,high,
Motorola,Moto G14,XT2341-3,android,phone,2023,no,,none,,13,14,parallel,,high,
Motorola,Moto G24,XT2423-1,android,phone,2024,no,,none,,14,14,parallel,,high,
Motorola,Moto G24 Power,XT2425-1,android,phone,2024,no,,none,,14,14,parallel,,high,
Motorola,Moto G34 5G,XT2363-2,android,phone,2024,conditional,region:EU=yes;region:IN=no,physical+esim,,14,14,parallel,,high,
Motorola,Moto G54 5G,XT2343-2,android,phone,2023,conditional,region:EU=yes;region:IN=no,physical+esim,,13,14,parallel,,high,
Motorola,Moto G84 5G,XT2347-2,android,phone,2023,no,,none,,13,14,parallel,,high,
Motorola,Moto G85 5G,XT2427-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Razr 5G,XT2071-4,android,phone,2020,yes,,physical+esim,1,10,12,parallel,,high,
Motorola,Razr 2022,XT2251-1,android,phone,2022,yes,,physical+esim,,12,14,parallel,,high,
Motorola,Razr 40,XT2323-1,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Motorola,Razr 40 Ultra,XT2321-1,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Motorola,Razr 50,XT2453-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
Motorola,Razr 50 Ultra,XT2451-1,android,phone,2024,yes,,physical+esim,,14,14,parallel,,high,
ASUS,Zenfone 7,ZS670KS,android,phone,2020,no,,none,,10,12,official,,high,
ASUS,Zenfone 7 Pro,ZS671KS,android,phone,2020,no,,none,,10,12,official,,high,
ASUS,Zenfone 8,ZS590KS,android,phone,2021,no,,none,,11,13,official,,high,
ASUS,Zenfone 8 Flip,ZS672KS,android,phone,2021,no,,none,,11,13,official,,high,
ASUS,Zenfone 9,AI2202,android,phone,2022,no,,none,,12,14,parallel,,high,
ASUS,Zenfone 10,AI2302,android,phone,2023,no,,none,,13,14,parallel,,high,
ASUS,Zenfone 11 Ultra,AI2401,android,phone,2024,no,,none,,14,14,parallel,,high,
ASUS,ROG Phone 3,ZS661KS,android,phone,2020,no,,none,,10,12,official,,high,
ASUS,ROG Phone 5,ZS673KS,android,phone,2021,no,,none,,11,13,official,,high,
ASUS,ROG Phone 5 Pro,ZS673KS,android,phone,2021,no,,none,,11,13,official,,high,
ASUS,ROG Phone 5 Ultimate,ZS673KS,android,phone,2021,no,,none,,11,13,official,,high,
ASUS,ROG Phone 6,AI2201,android,phone,2022,no,,none,,12,14,parallel,,high,
ASUS,ROG Phone 6 Pro,AI2201,android,phone,2022,no,,none,,12,14,parallel,,high,
ASUS,ROG Phone 7,AI2205,android,phone,2023,no,,none,,13,14,parallel,,high,
ASUS,ROG Phone 7 Ultimate,AI2205,android,phone,2023,no,,none,,13,14,parallel,,high,
ASUS,ROG Phone 8,AI2401,android,phone,2024,no,,none,,14,14,parallel,,high,
ASUS,ROG Phone 8 Pro,AI2401,android,phone,2024,no,,none,,14,14,parallel,,high,
ASUS,ROG Phone 9,AI2501,android,phone,2024,no,,none,,15,15,parallel,,high,
ASUS,ROG Phone 9 Pro,AI2501,android,phone,2024,no,,none,,15,15,parallel,,high,
Sony,Xperia 1 II,XQ-AT51,android,phone,2020,no,,none,,10,12,official,,high,
Sony,Xperia 1 III,XQ-BC52,android,phone,2021,no,,none,,11,13,official,,high,
Sony,Xperia 1 IV,XQ-CT54,android,phone,2022,conditional,region:US=yes;region:EU=yes;region:JP=yes,physical+esim,,12,14,parallel,,high,
Sony,Xperia 1 V,XQ-DQ54,android,phone,2023,conditional,region:US=yes;region:EU=yes;region:JP=yes,physical+esim,,13,14,parallel,,high,
Sony,Xperia 1 VI,XQ-EC54,android,phone,2024,conditional,region:EU=yes;region:JP=yes,physical+esim,,14,14,parallel,,high,
Sony,Xperia 1 VII,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Sony,Xperia 5 II,XQ-AS52,android,phone,2020,no,,none,,10,12,official,,high,
Sony,Xperia 5 III,XQ-BQ52,android,phone,2021,no,,none,,11,13,official,,high,
Sony,Xperia 5 IV,XQ-CQ54,android,phone,2022,conditional,region:US=yes;region:EU=yes;region:JP=yes,physical+esim,,12,14,parallel,,high,
Sony,Xperia 5 V,XQ-DE54,android,phone,2023,conditional,region:EU=yes;region:JP=yes,physical+esim,,13,14,parallel,,high,
Sony,Xperia 10 II,XQ-AU52,android,phone,2020,no,,none,,10,12,official,,high,
Sony,Xperia 10 III,XQ-BT52,android,phone,2021,no,,none,,11,13,official,,high,
Sony,Xperia 10 IV,XQ-CC54,android,phone,2022,conditional,region:EU=yes;region:JP=yes,physical+esim,,12,14,parallel,,high,
Sony,Xperia 10 V,XQ-DC54,android,phone,2023,conditional,region:EU=yes;region:JP=yes,physical+esim,,13,14,parallel,,high,
Sony,Xperia 10 VI,XQ-ES54,android,phone,2024,conditional,region:EU=yes;region:JP=yes,physical+esim,,14,14,parallel,,high,
Sony,Xperia 10 VII,,android,phone,2025,unknown,,,unknown,,,unknown,,medium,
Fairphone,Fairphone 3,FP3,android,phone,2019,no,,none,,9.0,13,parallel,,high,
Fairphone,Fairphone 3+,FP3+,android,phone,2020,no,,none,,10,13,parallel,,high,
Fairphone,Fairphone 4,FP4,android,phone,2021,yes,,physical+esim,,11,13,parallel,,high,
Fairphone,Fairphone 5,FP5,android,phone,2023,yes,,physical+esim,,13,14,parallel,,high,
Nokia,G10,TA-1334,android,phone,2021,no,,none,,11,13,official,,high,
Nokia,G20,TA-1336,android,phone,2021,no,,none,,11,13,official,,high,
Nokia,G50,TA-1361,android,phone,2021,no,,none,,11,13,official,,high,
Nokia,G11,TA-1401,android,phone,2022,no,,none,,11,13,official,,high,
Nokia,G21,TA-1418,android,phone,2022,no,,none,,11,13,official,,high,
Nokia,G60 5G,TA-1479,android,phone,2022,yes,,physical+esim,,12,14,parallel,,high,
Nokia,G42 5G,TA-1581,android,phone,2023,no,,none,,13,14,parallel,,high,
Nokia,X10,TA-1332,android,phone,2021,no,,none,,11,13,official,,high,
Nokia,X20,TA-1341,android,phone,2021,no,,none,,11,13,official,,high,
Nokia,X100,TA-1399,android,phone,2021,no,,none,,11,11,none,,high,
Nokia,X30 5G,TA-1450,android,phone,2022,yes,,physical+esim,,12,14,parallel,,high,
Nokia,C10,TA-1342,android,phone,2021,no,,none,,11,11,official,,high,
Nokia,C20,TA-1352,android,phone,2021,no,,none,,11,11,official,,high,
Nokia,C30,TA-1357,android,phone,2021,no,,none,,11,11,official,,high,
Nokia,C21,TA-1356,android,phone,2022,no,,none,,11,11,official,,high,
Nokia,C21 Plus,TA-1426,android,phone,2022,no,,none,,11,11,official,,high,
Nokia,C31,TA-1499,android,phone,2022,no,,none,,12,12,official,,high,
Nokia,C12,TA-1535,android,phone,2023,no,,none,,12,12,parallel,,high,
Nokia,C22,TA-1533,android,phone,2023,no,,none,,13,13,parallel,,high,
Nokia,C32,TA-1534,android,phone,2023,no,,none,,13,13,parallel,,high,
