brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy M01,,android,phone,2020,no,,,,9.0,11,official,,high,
Samsung,Galaxy M01 Core,,android,phone,2020,no,,,,10.0,12,official,,high,
Samsung,Galaxy M01s,,android,phone,2020,no,,,,9.0,11,official,,high,
Samsung,Galaxy M02,,android,phone,2021,no,,,,10.0,12,official,,high,
Samsung,Galaxy M02s,,android,phone,2021,no,,,,10.0,13,official,,high,
Samsung,Galaxy M04,,android,phone,2022,no,,,,12.0,13,official,,high,
Samsung,Galaxy M05,,android,phone,2024,no,,,,14.0,14,official,,high,
Samsung,Galaxy M10,,android,phone,2019,note_start=out_of_scope;note=Released before 2020 cutoff.,,,9.0,11,official,,high,
Samsung,Galaxy M11,,android,phone,2020,no,,,,10.0,12,official,,high,
Samsung,Galaxy M12,,android,phone,2021,no,,,,11.0,13,official,,high,
Samsung,Galaxy M13,,android,phone,2022,no,,,,12.0,14,official,,high,
Samsung,Galaxy M14,,android,phone,2023,no,,,,13.0,14,official,,high,
Samsung,Galaxy M14 5G,,android,phone,2023,no,,,,13.0,14,official,,high,
Samsung,Galaxy M15 5G,,android,phone,2024,unknown,,,,14.0,14,official,,medium,eSIM status not confirmed for this model.
Samsung,Galaxy M20,,android,phone,2019,note_start=out_of_scope;note=Released before 2020 cutoff.,,,8.1,11,official,,high,
Samsung,Galaxy M21,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M21s,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M22,,android,phone,2021,no,,,,11.0,13,official,,high,
Samsung,Galaxy M23,,android,phone,2022,no,,,,12.0,13,official,,high,
Samsung,Galaxy M23 5G,,android,phone,2022,no,,,,12.0,13,official,,high,
Samsung,Galaxy M30,,android,phone,2019,note_start=out_of_scope;note=Released before 2020 cutoff.,,,9.0,11,official,,high,
Samsung,Galaxy M30s,,android,phone,2019,note_start=out_of_scope;note=Released before 2020 cutoff.,,,9.0,11,official,,high,
Samsung,Galaxy M31,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M31 Prime,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M31s,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M32,,android,phone,2021,no,,,,11.0,13,official,,high,
Samsung,Galaxy M32 5G,,android,phone,2021,no,,,,11.0,13,official,,high,
Samsung,Galaxy M33 5G,,android,phone,2022,no,,,,12.0,14,official,,high,
Samsung,Galaxy M34 5G,,android,phone,2023,no,,,,13.0,14,official,,high,
Samsung,Galaxy M35 5G,,android,phone,2024,unknown,,,,14.0,14,official,,medium,eSIM status not confirmed for this model.
Samsung,Galaxy M51,,android,phone,2020,no,,,,10.0,13,official,,high,
Samsung,Galaxy M52 5G,,android,phone,2021,no,,,,11.0,14,official,,high,
Samsung,Galaxy M53 5G,,android,phone,2022,no,,,,12.0,14,official,,high,
Samsung,Galaxy M54,,android,phone,2023,no,,,,13.0,14,official,,high,
Samsung,Galaxy M55,,android,phone,2023,no,,,,13.0,14,official,,high,
Samsung,Galaxy M55s,,android,phone,2024,no,,,,14.0,14,official,,high
