brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Redmi 9,,android,phone,2020,no,,,,10.0,11.0,official,,low,
Xiaomi,Redmi 10,,android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,Redmi 12,,android,phone,2023,conditional,"region:CN=no;region:IN=yes",physical+esim,,13.0,14.0,official,,medium,
Xiaomi,Redmi 13,,android,phone,2024,conditional,"region:CN=no;region:IN=yes",physical+esim,,14.0,15.0,official,,medium,
Xiaomi,Redmi 14,,android,phone,2025,unknown,,,,15.0,,parallel,,low,
Xiaomi,Redmi A1,,android,phone,2022,no,,,,12.0 (Go),13.0 (Go),none,,high,
Xiaomi,Redmi A2,,android,phone,2023,no,,,,12.0 (Go),13.0 (Go),none,,high,
Xiaomi,Redmi A3,,android,phone,2024,no,,,,14.0 (Go),15.0 (Go),none,,high,
Xiaomi,POCO F1,,android,phone,2018,no,,,,9.0,12.0,official,,high,выдан по границе периода с 2020 года
Xiaomi,POCO F2 Pro,,android,phone,2020,no,,,,10.0,13.0,official,,high,
Xiaomi,POCO F3,,android,phone,2021,no,,,,11.0,14.0,official,,high,
Xiaomi,POCO F4,,android,phone,2022,no,,,,12.0,14.0,official,,high,
Xiaomi,POCO F5,,android,phone,2023,no,,,,13.0,15.0,official,,high,
Xiaomi,POCO F6,,android,phone,2024,no,,,,14.0,15.0,official,,high,
Xiaomi,POCO X2,,android,phone,2020,no,,,,10.0,11.0,official,,high,
Xiaomi,POCO X3,,android,phone,2020,no,,,,10.0,13.0,official,,high,
Xiaomi,POCO X3 Pro,,android,phone,2021,no,,,,11.0,14.0,official,,high,
Xiaomi,POCO X3 NFC,,android,phone,2020,no,,,,10.0,13.0,official,,high,
Xiaomi,POCO X4 GT,,android,phone,2022,no,,,,12.0,14.0,official,,high,
Xiaomi,POCO X4 Pro,,android,phone,2022,no,,,,12.0,14.0,official,,high,
Xiaomi,POCO X5,,android,phone,2023,no,,,,13.0,15.0,official,,high,
Xiaomi,POCO X5 Pro,,android,phone,2023,no,,,,13.0,15.0,official,,high,
Xiaomi,POCO X6,,android,phone,2024,no,,,,14.0,15.0,official,,high,
Xiaomi,POCO X6 Pro,,android,phone,2024,no,,,,14.0,15.0,official,,high,
Xiaomi,POCO M2,,android,phone,2020,no,,,,10.0,11.0,official,,high,
Xiaomi,POCO M2 Pro,,android,phone,2020,no,,,,10.0,11.0,official,,high,
Xiaomi,POCO M3,,android,phone,2020,no,,,,10.0,11.0,official,,high,
Xiaomi,POCO M4 Pro,,android,phone,2021,no,,,,11.0,13.0,official,,high,
Xiaomi,POCO M5,,android,phone,2022,no,,,,12.0,14.0,official,,high,
Xiaomi,POCO M5s,,android,phone,2022,no,,,,12.0,14.0,official,,high,
Xiaomi,POCO M6,,android,phone,2023,no,,,,13.0,15.0,official,,high,
Xiaomi,POCO C3,,android,phone,2020,no,,,,10.0 (Go),11.0 (Go),official,,high,
Xiaomi,POCO C31,,android,phone,2022,no,,,,12.0 (Go),13.0 (Go),official,,high,
Xiaomi,POCO C40,,android,phone,2022,no,,,,12.0 (Go),13.0 (Go),official,,high,
Xiaomi,POCO C51,,android,phone,2023,no,,,,13.0 (Go),15.0 (Go),official,,high
