brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Honor,Magic4 Pro,,android,phone,2022,yes,,physical+esim,,12.0,13.0,official,,high,
Honor,Magic5,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,Magic5 Pro,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,Magic5 Lite,,android,phone,2023,no,,dual-sim,,,,parallel,,medium,
Honor,Magic5 RSR Porsche Design,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,Magic6,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,Magic6 Pro,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,Magic6 Ultimate,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,Magic7,,android,phone,2025,yes,,physical+esim,,15.0,15.0,official,,high,
Honor,Magic7 Pro,,android,phone,2025,yes,,physical+esim,,15.0,15.0,official,,high,
Honor,Magic7 Pro Titanium Edition,,android,phone,2025,yes,,physical+esim,,15.0,15.0,official,,high,
Honor,X8,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,X8a,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,X9 5G,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,X9a,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,X9b,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,X40,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,X40 GT,,android,phone,2023,unknown,,,,,,parallel,,low,Статус eSIM зависит от региональной версии.
Honor,X50,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,X50 Pro,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,X50 Ultra,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,50,,android,phone,2021,no,,dual-sim,,,,parallel,,high,
Honor,50 Lite,,android,phone,2021,no,,dual-sim,,,,parallel,,high,
Honor,50 Pro,,android,phone,2021,no,,dual-sim,,,,parallel,,high,
Honor,60,,android,phone,2021,no,,dual-sim,,,,parallel,,high,
Honor,60 Pro,,android,phone,2021,no,,dual-sim,,,,parallel,,high,
Honor,70,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,70 Pro,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,70 Pro+,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,80,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,80 Pro,,android,phone,2022,no,,dual-sim,,,,parallel,,high,
Honor,90,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,90 Pro,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,100,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,100 Pro,,android,phone,2023,no,,dual-sim,,,,parallel,,high,
Honor,200,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,200 Pro,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,300,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,300 Pro,,android,phone,2024,no,,dual-sim,,,,parallel,,high,
Honor,400,,android,phone,2025,no,,dual-sim,,,,parallel,,high,
Honor,400 Pro,,android,phone,2025,no,,dual-sim,,,,parallel,,high,
Honor,Magic Vs,,android,phone,2022,conditional,"region:CN=no;region:EU=yes",physical+esim,,12.0,13.0,official,,high,
Honor,Magic V2,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,Magic V2s,,android,phone,2023,yes,,physical+esim,,13.0,14.0,official,,high,
Honor,Magic V3,,android,phone,2024,yes,,physical+esim,,14.0,15.0,official,,high,
Honor,Magic V Flip,,android,phone,2024,conditional,"region:CN=no;region:EU=yes",physical+esim,,14.0,15.0,official,,high
