brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
realme,10 Pro,,android,phone,2022,unknown,,,,,,,,,medium,
realme,10 Pro+,,android,phone,2022,unknown,,,,,,,,,medium,
realme,11 Pro,,android,phone,2023,unknown,,,,,,,,,medium,
realme,11 Pro+,,android,phone,2023,unknown,,,,,,,,,medium,
realme,12 Pro,,android,phone,2024,unknown,,,,,,,,,medium,
realme,12 Pro+,,android,phone,2024,unknown,,,,,,,,,medium,
realme,13 Pro,,android,phone,2024,unknown,,,,,,,,,medium,
realme,13 Pro+,,android,phone,2024,unknown,,,,,,,,,medium,
realme,C-series (C25, C35 и новее),,android,phone,2020-2024,no,,,,physical+esim,,9.0,14,official,,high,"Модели с 2020 года не имеют eSIM"
realme,Narzo-series (Narzo 50/60 и новее),,android,phone,2021-2024,no,,,,physical+esim,,11.0,14,official,,high,"Серия Narzo не поддерживает eSIM"
realme,GT,,android,phone,2021,conditional,region:CN=no;region:IN=yes,physical+esim,,11.0,13,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Neo,,android,phone,2021,conditional,region:CN=no;region:IN=yes,physical+esim,,11.0,13,parallel,,low,"eSIM зависит от региона продажи"
realme,GT 2,,android,phone,2022,conditional,region:CN=no;region:IN=yes,physical+esim,,12.0,14,parallel,,low,"eSIM зависит от региона продажи"
realme,GT 2 Pro,,android,phone,2022,conditional,region:CN=no;region:IN=yes,physical+esim,,12.0,14,parallel,,low,"eSIM зависит от региона продажи"
realme,GT 3,,android,phone,2023,conditional,region:CN=no;region:IN=yes,physical+esim,,13.0,14,parallel,,low,"eSIM зависит от региона продажи"
realme,GT 5G,,android,phone,2021,conditional,region:CN=no;region:IN=yes,physical+esim,,11.0,13,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Master Edition,,android,phone,2021,conditional,region:CN=no;region:IN=yes,physical+esim,,11.0,13,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Neo 2,,android,phone,2021,conditional,region:CN=no;region:IN=yes,physical+esim,,11.0,13,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Neo 3,,android,phone,2022,conditional,region:CN=no;region:IN=yes,physical+esim,,12.0,14,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Neo 3T,,android,phone,2022,conditional,region:CN=no;region:IN=yes,physical+esim,,12.0,14,parallel,,low,"eSIM зависит от региона продажи"
realme,GT Neo 5,,android,phone,2023,conditional,region:CN=no;region:IN=yes,physical+esim,,13.0,14,parallel,,low,"eSIM зависит от региона продажи"
