brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
vivo,X60 Pro,,android,phone,2021,unknown,,,,9.0,14,official,,high,
vivo,X70 Pro+,,android,phone,2021,unknown,,,,11.0,14,official,,high,
vivo,V21 5G,,android,phone,2021,no,,,,11.0,13,official,,high,
vivo,V23 5G,,android,phone,2022,conditional;region:CN=no;region:IN/EU/SEA=yes,physical+esim,,12.0,14,official,,medium,"Ограничение по региону CN"
vivo,V23e 5G,,android,phone,2022,no,,,,11.0,13,official,,high,
vivo,Y72 5G,,android,phone,2021,no,,,,11.0,13,official,,high,
vivo,Y76 5G,,android,phone,2021,no,,,,11.0,13,official,,high,
vivo,Y77 5G,,android,phone,2022,no,,,,11.0,13,official,,high,
vivo,iQOO 7 Legend,,android,phone,2021,no,,,,11.0,14,parallel,,high,
vivo,iQOO Neo 5,,android,phone,2021,no,,,,11.0,14,parallel,,high,
vivo,iQOO Z5,,android,phone,2021,no,,,,11.0,13,parallel,,high,
vivo,iQOO 8 Pro,,android,phone,2021,unknown,,,,11.0,14,parallel,,high,
vivo,iQOO Neo 6 SE,,android,phone,2022,no,,,,12.0,14,parallel,,high,
vivo,iQOO Z7 5G,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO 11,,android,phone,2023,conditional;region:CN=no;region:IN/EU/SEA=yes,physical+esim,,13.0,15,parallel,,medium,"Ограничение по региону CN"
vivo,iQOO Neo 7 Pro,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO Z7s 5G,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO 12,,android,phone,2023,conditional;region:CN=no;region:IN/EU/SEA=yes,physical+esim,,14.0,15,parallel,,medium,"Ограничение по региону CN"
vivo,iQOO Neo 8,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO Neo 8 Pro,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO 13,,android,phone,2024,conditional;region:CN=no;region:IN/EU/SEA=yes,physical+esim,,14.0,15,parallel,,medium,"Ограничение по региону CN"
vivo,iQOO Neo 9,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO Neo 9 Pro,,android,phone,2023,no,,,,13.0,14,parallel,,high,
vivo,iQOO Z9,,android,phone,2024,no,,,,14.0,15,parallel,,high,
vivo,iQOO Z9x,,android,phone,2024,no,,,,14.0,15,parallel,,high,vivo,iQOO Z10,,android,phone,2025,no,,,,14.0,15,parallel,,high
