brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Tecno,Camon 20,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Tecno,Spark 20 Pro,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Tecno,Pova 5 Pro,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Tecno,Phantom V Flip,,android,phone,2023,conditional,"region:CN=yes;region:RU=no",physical+esim,,12.0,14,official,,,high,Поддержка зависит от региона продажи.
Tecno,Phantom V Fold,,android,phone,2023,conditional,"region:CN=yes;region:RU=no",physical+esim,,12.0,14,official,,,high,Поддержка зависит от региона продажи.
Infinix,Note 30 5G,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Infinix,Hot 40 Pro,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Infinix,Zero 30 5G,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Infinix,GT 10 Pro,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
ZTE,Blade V40 Pro,,android,phone,2022,unknown,,,,11.0,14,parallel,,,low,
ZTE,Axon 40 Ultra,,android,phone,2022,unknown,,,,11.0,14,parallel,,,low,
Nubia,Z50,,android,phone,2022,unknown,,,,12.0,14,parallel,,,low,
Nubia,Neo 5G,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Nubia,Neo 2,,android,phone,2023,unknown,,,,12.0,14,parallel,,,low,
Nubia,Flip,,android,phone,2023,conditional,"region:CN=yes;region:RU=no",physical+esim,,12.0,14,parallel,,,high,Поддержка зависит от региона продажи.
