brand,code_suffix,code_example,region,esim_effect,confidence,notes
Samsung,B,,ru,supported,high,"Евразия (Россия/Беларусь), eSIM поддерживается на флагманах с 2019 года"
Samsung,N,,eu,supported,high,"Европа (EUX/EUY), eSIM поддерживается на большинстве моделей"
Samsung,O,,cn,not_supported,high,"Китайская версия без eSIM-модуля физически"
Samsung,U,,us,supported,high,"США (несъемные операторы и разблокированные версии)"
Samsung,W,,cn,not_supported,high,"Гонконг/Макао/Тайвань, регион CN по политике eSIM"
Samsung,Z,,global,same_as_global,medium,"Global ROM для РФ/СНГ, зависит от прошивки, не от железа"
Huawei,ELE-AL00,,cn,unknown,low,"Китайский суффикс ALxx, данные по eSIM фрагментарны"
Honor,NEO-AN00,,cn,unknown,low,"Китайский суффикс ANxx, наличие eSIM требует уточнения"
Xiaomi,,,,,unknown,"Региональная привязка в коде модели отсутствует"
OPPO,,,,,unknown,"Региональная привязка в коде модели отсутствует"
OnePlus,,,,,unknown,"Региональная привязка в коде модели отсутствует"
realme,,,,,unknown,"Региональная привязка в коде модели отсутствует"
vivo,,,,,unknown,"Региональная привязка в коде модели отсутствует"
ZTE,,,,,unknown,"Региональная привязка в коде модели отсутствует"
