brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy S9,SM-G960F,android,phone,2018,no,none,,,,official,,high,
Samsung,Galaxy S9+,SM-G965F,android,phone,2018,no,none,,,,official,,high,
Samsung,Galaxy S10,SM-G973F,android,phone,2019,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S10+,SM-G975F,android,phone,2019,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S10e,SM-G970F,android,phone,2019,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S20,SM-G980F,android,phone,2020,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S20+,SM-G985F,android,phone,2020,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S20 Ultra,SM-G988F,android,phone,2020,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S20 FE,SM-G780F,android,phone,2020,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,low,"eSIM support varies substantially by regional variant."
Samsung,Galaxy S21,SM-G991B,android,phone,2021,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S21+,SM-G996B,android,phone,2021,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S21 Ultra,SM-G998B,android,phone,2021,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S21 FE,SM-G990B,android,phone,2022,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,official,,low,"eSIM support varies substantially by regional variant."
Samsung,Galaxy S22,SM-S901B,android,phone,2022,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S22+,SM-S906B,android,phone,2022,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S22 Ultra,SM-S908B,android,phone,2022,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S23,SM-S911B,android,phone,2023,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S23+,SM-S916B,android,phone,2023,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S23 Ultra,SM-S918B,android,phone,2023,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S23 FE,SM-S711B,android,phone,2023,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S24,SM-S921B,android,phone,2024,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S24+,SM-S926B,android,phone,2024,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S24 Ultra,SM-S928B,android,phone,2024,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S24 FE,SM-S721B,android,phone,2024,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,medium,"eSIM availability varies by regional model."
Samsung,Galaxy S25,SM-S931B,android,phone,2025,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S25+,SM-S936B,android,phone,2025,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S25 Ultra,SM-S938B,android,phone,2025,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,high,"eSIM availability varies by regional model."
Samsung,Galaxy S25 FE,SM-S731B,android,phone,2025,conditional,"region:some=esim;region:CN/HK=likely no",physical+esim,,,,none,,medium,"eSIM availability varies by regional model."
