brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy A01,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A01 Core,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A02s,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A02,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A03,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A03 Core,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A03s,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A04,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A04e,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A04s,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A05,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A05s,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A06,,android,phone,2024,no,,none,,,,,,high,
Samsung,Galaxy A06 5G,,android,phone,2025,unknown,,unknown,,,,,,low,
Samsung,Galaxy A07,,android,phone,2025,unknown,,unknown,,,,,,low,
Samsung,Galaxy A07 5G,,android,phone,2026,unknown,,unknown,,,,,,low,
Samsung,Galaxy A11,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A12,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A12 Nacho,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A13,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A13 5G,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A14,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A14 5G,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A15,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A15 5G,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A16,,android,phone,2024,no,,none,,,,,,high,
Samsung,Galaxy A16 5G,,android,phone,2024,no,,none,,,,,,high,
Samsung,Galaxy A17,,android,phone,2025,unknown,,unknown,,,,,,low,
Samsung,Galaxy A21,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A21s,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A22,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A22 5G,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A23,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A23 5G,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A24,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A25 5G,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A26 5G,,android,phone,2025,unknown,,unknown,,,,,,low,
Samsung,Galaxy A31,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A32,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A32 5G,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A33 5G,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A34 5G,,android,phone,2023,no,,none,,,,,,high,
Samsung,Galaxy A35 5G,,android,phone,2024,unknown,,unknown,,,,,,low,
Samsung,Galaxy A36 5G,,android,phone,2025,unknown,,unknown,,,,,,low,
Samsung,Galaxy A51,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A51 5G,,android,phone,2020,no,,none,,,,,,high,
Samsung,Galaxy A52,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A52 5G,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A52s 5G,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A53 5G,,android,phone,2022,no,,none,,,,,,high,
Samsung,Galaxy A54 5G,,android,phone,2023,conditional,region:EU=esim,physical+esim,,,,,,medium,
Samsung,Galaxy A55 5G,,android,phone,2024,conditional,region:EU=esim,physical+esim,,,,,,medium,
Samsung,Galaxy A56 5G,,android,phone,2025,conditional,region:EU=esim,physical+esim,,,,,,medium,
Samsung,Galaxy A72,,android,phone,2021,no,,none,,,,,,high,
Samsung,Galaxy A73 5G,,android,phone,2022,no,,none,,,,,,high,
