brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy M01,SM-M015F,android,phone,2020,no,,,,9.0,12.0,,,high,
Samsung,Galaxy M01s,SM-M017F,android,phone,2020,no,,,,9.0,12.0,,,high,
Samsung,Galaxy M02,SM-M022F,android,phone,2021,no,,,,10.0,11.0,,,high,
Samsung,Galaxy M02s,SM-M025F,android,phone,2021,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M04,SM-M045F,android,phone,2022,no,,,,12.0,14.0,,,high,
Samsung,Galaxy M05,SM-M055F,android,phone,2024,no,,,,14.0,15.0,,,high,
Samsung,Galaxy M06 5G,SM-M066B,android,phone,2025,no,,,,15.0,15.0,,,medium,
Samsung,Galaxy M07 5G,SM-M076B,android,phone,2025,no,,,,15.0,15.0,,,low,
Samsung,Galaxy M11,SM-M115F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M12,SM-M127F,android,phone,2021,no,,,,11.0,13.0,,,high,
Samsung,Galaxy M13,SM-M135F,android,phone,2022,no,,,,12.0,14.0,,,high,
Samsung,Galaxy M13 5G,SM-M136B,android,phone,2022,no,,,,12.0,14.0,,,high,
Samsung,Galaxy M14 5G,SM-M146B,android,phone,2023,no,,,,13.0,15.0,,,high,
Samsung,Galaxy M15 5G,SM-M156B,android,phone,2024,no,,,,14.0,16.0,,,medium,
Samsung,Galaxy M16 5G,SM-M166B,android,phone,2025,no,,,,15.0,15.0,,,medium,
Samsung,Galaxy M17 5G,SM-M176B,android,phone,2025,no,,,,15.0,15.0,,,low,
Samsung,Galaxy M21,SM-M215F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M21s,SM-M217F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M22,SM-M225FV,android,phone,2021,no,,,,11.0,13.0,,,high,
Samsung,Galaxy M23 5G,SM-M236B,android,phone,2022,no,,,,12.0,14.0,,,high,
Samsung,Galaxy M26 5G,SM-M266B,android,phone,2025,no,,,,15.0,15.0,,,low,
Samsung,Galaxy M31,SM-M315F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M31s,SM-M317F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M32,SM-M325F,android,phone,2021,no,,,,11.0,13.0,,,high,
Samsung,Galaxy M33 5G,SM-M336B,android,phone,2022,no,,,,12.0,16.0,,,high,
Samsung,Galaxy M34 5G,SM-M346B,android,phone,2023,no,,,,13.0,16.0,,,high,
Samsung,Galaxy M35 5G,SM-M356B,android,phone,2024,no,,,,14.0,16.0,,,high,
Samsung,Galaxy M36 5G,SM-M366B,android,phone,2025,no,,,,15.0,16.0,,,medium,
Samsung,Galaxy M51,SM-M515F,android,phone,2020,no,,,,10.0,12.0,,,high,
Samsung,Galaxy M52 5G,SM-M526B,android,phone,2021,no,,,,11.0,13.0,,,high,
Samsung,Galaxy M53 5G,SM-M536B,android,phone,2022,no,,,,12.0,16.0,,,high,
Samsung,Galaxy M54 5G,SM-M546B,android,phone,2023,no,,,,13.0,16.0,,,high,
Samsung,Galaxy M55 5G,SM-M556B,android,phone,2024,no,,,,14.0,16.0,,,high,
Samsung,Galaxy M55s 5G,SM-M558B,android,phone,2024,no,,,,14.0,16.0,,,high,
Samsung,Galaxy M56 5G,SM-M566B,android,phone,2025,no,,,,15.0,16.0,,,medium,
