brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Mi 9,,android,phone,2019,no,,none,,,,,,high,
Xiaomi,Mi 9 Pro,,android,phone,2019,no,,none,,,,,,high,
Xiaomi,Mi 10,,android,phone,2020,no,,none,,,,,,high,
Xiaomi,Mi 10 Pro,,android,phone,2020,no,,none,,,,,,high,
Xiaomi,Mi 10 Ultra,,android,phone,2020,no,,none,,,,,,high,
Xiaomi,Mi 11,,android,phone,2021,conditional,region:CN=no,,,,,,,medium,Global variants require separate verification; China version does not support eSIM.
Xiaomi,Mi 11 Pro,,android,phone,2021,no,,none,,,,,,high,China-market model.
Xiaomi,Mi 11 Ultra,,android,phone,2021,conditional,region:CN=no,,,,,,,medium,
Xiaomi,Mi 9T,,android,phone,2019,no,,none,,,,,,high,
Xiaomi,Mi 9T Pro,,android,phone,2019,no,,none,,,,,,high,
Xiaomi,Mi 10T,,android,phone,2020,no,,none,,,,,,high,
Xiaomi,Mi 10T Pro,,android,phone,2020,no,,none,,,,,,high,
Xiaomi,11T,,android,phone,2021,no,,none,,,,,,high,
Xiaomi,11T Pro,,android,phone,2021,no,,none,,,,,,high,
Xiaomi,12,,android,phone,2021,conditional,region:CN=no,,,,,,,medium,
Xiaomi,12 Pro,,android,phone,2021,conditional,region:CN=no,,,,,,,medium,
Xiaomi,12S,,android,phone,2022,no,,none,,,,,,high,China-market model.
Xiaomi,12S Pro,,android,phone,2022,no,,none,,,,,,high,China-market model.
Xiaomi,12S Ultra,,android,phone,2022,no,,none,,,,,,high,China-market model.
Xiaomi,12T,,android,phone,2022,no,,none,,,,,,high,
Xiaomi,12T Pro,,android,phone,2022,conditional,region:CN=no,,,,,,,medium,
Xiaomi,13,,android,phone,2022,conditional,region:CN=no,,,,,,,medium,
Xiaomi,13 Pro,,android,phone,2022,conditional,region:CN=no,,,,,,,medium,
Xiaomi,13 Ultra,,android,phone,2023,conditional,region:CN=no,,,,,,,medium,
Xiaomi,13T,,android,phone,2023,no,,none,,,,,,high,
Xiaomi,13T Pro,,android,phone,2023,conditional,region:CN=no,,,,,,,medium,
Xiaomi,14,,android,phone,2023,conditional,region:CN=no,,,,,,,medium,
Xiaomi,14 Pro,,android,phone,2023,no,,none,,,,,,high,China-market model.
Xiaomi,14 Ultra,,android,phone,2024,conditional,region:CN=no,,,,,,,medium,
Xiaomi,14T,,android,phone,2024,conditional,region:CN=no,,,,,,,medium,
Xiaomi,14T Pro,,android,phone,2024,conditional,region:CN=no,,,,,,,medium,
Xiaomi,15,,android,phone,2024,conditional,region:CN=no,,,,,,,medium,
Xiaomi,15 Pro,,android,phone,2024,no,,none,,,,,,high,China-market model.
Xiaomi,15 Ultra,,android,phone,2025,conditional,region:CN=no,,,,,,,medium,
Xiaomi,15T,,android,phone,2025,conditional,region:CN=no,,,,,,,medium,
Xiaomi,15T Pro,,android,phone,2025,conditional,region:CN=no,,,,,,,medium,
Xiaomi,Mix Fold,,android,phone,2021,no,,none,,,,,,high,China-market model.
Xiaomi,Mix Fold 2,,android,phone,2022,no,,none,,,,,,high,China-market model.
Xiaomi,Mix Fold 3,,android,phone,2023,no,,none,,,,,,high,China-market model.
Xiaomi,Mix Fold 4,,android,phone,2024,no,,none,,,,,,high,China-market model.
Xiaomi,Mix Flip,,android,phone,2024,no,,none,,,,,,high,China-market model.
Xiaomi,Mix Flip 2,,android,phone,2025,no,,none,,,,,,high,China-market model.
