brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Xiaomi,Redmi Note 8,,android,phone,2019,no,,none,,9.0,,none,,high,
Xiaomi,Redmi Note 8 Pro,,android,phone,2019,no,,none,,9.0,,none,,high,
Xiaomi,Redmi Note 8T,,android,phone,2019,no,,none,,9.0,,official,,high,
Xiaomi,Redmi Note 9,,android,phone,2020,no,,none,,10.0,,official,,high,
Xiaomi,Redmi Note 9S,,android,phone,2020,no,,none,,10.0,,official,,high,
Xiaomi,Redmi Note 9 Pro,,android,phone,2020,no,,none,,10.0,,official,,high,
Xiaomi,Redmi Note 9 Pro Max,,android,phone,2020,no,,none,,10.0,,none,,high,
Xiaomi,Redmi Note 9T 5G,,android,phone,2020,no,,none,,10.0,,official,,high,
Xiaomi,Redmi Note 10,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 10S,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 10 5G,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 10T 5G,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 10 Pro,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 10 Pro 5G,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11S,,android,phone,2022,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11 5G,,android,phone,2021,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11S 5G,,android,phone,2022,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11 Pro,,android,phone,2022,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11 Pro 5G,,android,phone,2022,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 11 Pro+ 5G,,android,phone,2022,no,,none,,11.0,,official,,high,
Xiaomi,Redmi Note 12,,android,phone,2023,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 12 5G,,android,phone,2023,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 12S,,android,phone,2023,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 12 Pro,,android,phone,2022,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 12 Pro 5G,,android,phone,2023,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 12 Pro+ 5G,,android,phone,2023,no,,none,,12.0,,official,,high,
Xiaomi,Redmi Note 13,,android,phone,2024,no,,none,,13.0,,official,,high,
Xiaomi,Redmi Note 13 5G,,android,phone,2024,no,,none,,13.0,,official,,high,
Xiaomi,Redmi Note 13 Pro,,android,phone,2024,no,,none,,13.0,,official,,high,
Xiaomi,Redmi Note 13 Pro 5G,,android,phone,2024,conditional,region:CN=no,physical+esim,,13.0,,official,,medium,
Xiaomi,Redmi Note 13 Pro+ 5G,,android,phone,2024,conditional,region:CN=no,physical+esim,,13.0,,official,,medium,
Xiaomi,Redmi Note 14,,android,phone,2025,no,,none,,14.0,,official,,high,
Xiaomi,Redmi Note 14 5G,,android,phone,2025,conditional,region:CN=no,physical+esim,,14.0,,official,,medium,
Xiaomi,Redmi Note 14 Pro,,android,phone,2025,no,,none,,14.0,,official,,high,
Xiaomi,Redmi Note 14 Pro 5G,,android,phone,2025,conditional,region:CN=no,physical+esim,,14.0,,official,,medium,
Xiaomi,Redmi Note 14 Pro+ 5G,,android,phone,2025,conditional,region:CN=no,physical+esim,,14.0,,official,,medium,
