brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Redmi,Redmi 9,M2004J19G,android,phone,2020,no,,none,,,,unknown,,high,
Redmi,Redmi 9A,M2006C3LG,android,phone,2020,no,,none,,,,unknown,,high,
Redmi,Redmi 9C,M2006C3MG,android,phone,2020,no,,none,,,,unknown,,high,
Redmi,Redmi 9T,M2010J19SG,android,phone,2021,no,,none,,,,unknown,,high,
Redmi,Redmi 9 Power,M2010J19SI,android,phone,2020,no,,none,,,,unknown,,high,
Redmi,Redmi 9 Prime,M2004J19PI,android,phone,2020,no,,none,,,,unknown,,high,
Redmi,Redmi 10,M2103K19G,android,phone,2021,no,,none,,,,unknown,,high,
Redmi,Redmi 10 5G,2201116SG,android,phone,2022,no,,none,,,,unknown,,high,
Redmi,Redmi 10C,220333QAG,android,phone,2022,no,,none,,,,unknown,,high,
Redmi,Redmi 10A,220233L2G,android,phone,2022,no,,none,,,,unknown,,high,
Redmi,Redmi 12,23053RN02A,android,phone,2023,no,,none,,,,unknown,,high,
Redmi,Redmi 12 5G,23076RN4BI,android,phone,2023,no,,none,,,,unknown,,high,
Redmi,Redmi 12C,22120RN86G,android,phone,2022,no,,none,,,,unknown,,high,
Redmi,Redmi 13,2404ARN45A,android,phone,2024,no,,none,,,,unknown,,high,
Redmi,Redmi 13 5G,2406ERN9CI,android,phone,2024,no,,none,,,,unknown,,high,
Redmi,Redmi 13C,2311DRN14I,android,phone,2023,no,,none,,,,unknown,,high,
Redmi,Redmi 13C 5G,23124RN87I,android,phone,2023,no,,none,,,,unknown,,high,
Redmi,Redmi 13x,,android,phone,2024,no,,none,,,,unknown,,high,
Redmi,Redmi 14C,,android,phone,2024,no,,none,,,,unknown,,high,
Redmi,Redmi A1,220733SG,android,phone,2022,no,,none,,,,unknown,,high,
Redmi,Redmi A2,23028RN4DG,android,phone,2023,no,,none,,,,unknown,,high,
Redmi,Redmi A3,23026RN54G,android,phone,2024,no,,none,,,,unknown,,high,
POCO,F2 Pro,M2004J11G,android,phone,2020,no,,none,,,,unknown,,high,
POCO,F3,M2012K11AG,android,phone,2021,no,,none,,,,unknown,,high,
POCO,F3 GT,M2104K10I,android,phone,2021,no,,none,,,,unknown,,high,
POCO,F4,22021211RG,android,phone,2022,no,,none,,,,unknown,,high,
POCO,F4 GT,21121210G,android,phone,2022,no,,none,,,,unknown,,high,
POCO,F5,23049PCD8G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,F5 Pro,23013PC75G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,F6,24069PC21G,android,phone,2024,no,,none,,,,unknown,,high,
POCO,F6 Pro,23113RKC6G,android,phone,2024,no,,none,,,,unknown,,high,
POCO,F7,,android,phone,2025,no,,none,,,,unknown,,high,
POCO,F7 Pro,,android,phone,2025,no,,none,,,,unknown,,high,
POCO,F7 Ultra,,android,phone,2025,no,,none,,,,unknown,,high,
POCO,X2,M2002J20I,android,phone,2020,no,,none,,,,unknown,,high,
POCO,X3,M2007J20CG,android,phone,2020,no,,none,,,,unknown,,high,
POCO,X3 Pro,M2102J20SG,android,phone,2021,no,,none,,,,unknown,,high,
POCO,X3 GT,M2104K10G,android,phone,2021,no,,none,,,,unknown,,high,
POCO,X4 Pro 5G,2201116PG,android,phone,2022,no,,none,,,,unknown,,high,
POCO,X4 GT,22041216G,android,phone,2022,no,,none,,,,unknown,,high,
POCO,X5,22101320G,android,phone,2022,no,,none,,,,unknown,,high,
POCO,X5 Pro 5G,2210132G,android,phone,2022,no,,none,,,,unknown,,high,
POCO,X5 GT,22111310G,android,phone,2022,no,,none,,,,unknown,,high,
POCO,X6,23122PCD1G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,X6 Pro,2311DRK48G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,X7,,android,phone,2025,no,,none,,,,unknown,,high,
POCO,X7 Pro,,android,phone,2025,no,,none,,,,unknown,,high,
POCO,M2,M2004J6I,android,phone,2020,no,,none,,,,unknown,,high,
POCO,M2 Pro,M2003J6CI,android,phone,2020,no,,none,,,,unknown,,high,
POCO,M3,M2010J19CI,android,phone,2020,no,,none,,,,unknown,,high,
POCO,M3 Pro 5G,M2103K10I,android,phone,2021,no,,none,,,,unknown,,high,
POCO,M4,22041219I,android,phone,2022,no,,none,,,,unknown,,high,
POCO,M4 Pro,,android,phone,2022,no,,none,,,,unknown,,high,
POCO,M4 Pro 5G,,android,phone,2022,no,,none,,,,unknown,,high,
POCO,M5,22071219CG,android,phone,2022,no,,none,,,,unknown,,high,
POCO,M5s,2207117BPG,android,phone,2022,no,,none,,,,unknown,,high,
POCO,M6,,android,phone,2023,no,,none,,,,unknown,,high,
POCO,M6 5G,,android,phone,2023,no,,none,,,,unknown,,high,
POCO,M6 Pro,,android,phone,2024,no,,none,,,,unknown,,high,
POCO,C3,M2006C3MNG,android,phone,2020,no,,none,,,,unknown,,high,
POCO,C10,,android,phone,2021,no,,none,,,,unknown,,high,
POCO,C20,,android,phone,2021,no,,none,,,,unknown,,high,
POCO,C21,,android,phone,2021,no,,none,,,,unknown,,high,
POCO,C25,,android,phone,2021,no,,none,,,,unknown,,high,
POCO,C31,,android,phone,2022,no,,none,,,,unknown,,high,
POCO,C40,220333QNY,android,phone,2022,no,,none,,,,unknown,,high,
POCO,C50,,android,phone,2023,no,,none,,,,unknown,,high,
POCO,C51,2303CRA44A,android,phone,2023,no,,none,,,,unknown,,high,
POCO,C55,22127PC95G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,C60,,android,phone,2023,no,,none,,,,unknown,,high,
POCO,C61,2312BPC51G,android,phone,2024,no,,none,,,,unknown,,high,
POCO,C65,2310FPCA4G,android,phone,2023,no,,none,,,,unknown,,high,
POCO,C75,,android,phone,2024,no,,none,,,,unknown,,high,
