brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Honor,Magic V,,android,phone,2022,unknown,,,,,,,,,low,
Honor,Magic Vs,,android,phone,2022,unknown,,,,,,,,,low,
Honor,Magic V2,,android,phone,2023,yes,region:CN=no,physical+esim,,,,,,high,
Honor,Magic V3,,android,phone,2024,yes,region:CN=no,physical+esim,,,,,,high,
Honor,Magic V Flip,,android,phone,2024,unknown,,,,,,,,,low,
Honor,Magic3,,android,phone,2021,unknown,,,,,,,,,low,
Honor,Magic3 Pro,,android,phone,2021,unknown,,,,,,,,,low,
Honor,Magic3 Pro+,,android,phone,2021,unknown,,,,,,,,,low,
Honor,Magic4 Lite,,android,phone,2022,unknown,,,,,,,,,low,
Honor,Magic4,,android,phone,2022,unknown,,,,,,,,,low,
Honor,Magic4 Pro,,android,phone,2022,yes,region:CN=no,physical+esim,,,,,,high,
Honor,Magic4 Ultimate,,android,phone,2022,unknown,,,,,,,,,low,
Honor,Magic5 Lite,,android,phone,2023,unknown,,,,,,,,,low,
Honor,Magic5,,android,phone,2023,unknown,,,,,,,,,low,
Honor,Magic5 Pro,,android,phone,2023,yes,region:CN=no,physical+esim,,,,,,high,
Honor,Magic6 Lite,,android,phone,2024,unknown,,,,,,,,,low,
Honor,Magic6,,android,phone,2024,unknown,,,,,,,,,low,
Honor,Magic6 Pro,,android,phone,2024,yes,region:CN=no,physical+esim,,,,,,high,
Honor,Magic6 RSR Porsche Design,,android,phone,2024,unknown,,,,,,,,,low,
Honor,Magic7 Lite,,android,phone,2025,unknown,,,,,,,,,low,
Honor,Magic7,,android,phone,2025,unknown,,,,,,,,,low,
Honor,Magic7 Pro,,android,phone,2025,yes,region:CN=no,physical+esim,,,,,,high,
Honor,50,,android,phone,2021,unknown,,,,,,,,,low,
Honor,50 Pro,,android,phone,2021,unknown,,,,,,,,,low,
Honor,50 Lite,,android,phone,2021,unknown,,,,,,,,,low,
Honor,50 SE,,android,phone,2021,unknown,,,,,,,,,low,
Honor,60,,android,phone,2021,unknown,,,,,,,,,low,
Honor,60 Pro,,android,phone,2021,unknown,,,,,,,,,low,
Honor,60 SE,,android,phone,2021,unknown,,,,,,,,,low,
Honor,70,,android,phone,2022,unknown,,,,,,,,,low,
Honor,70 Pro,,android,phone,2022,unknown,,,,,,,,,low,
Honor,70 Pro+,,android,phone,2022,unknown,,,,,,,,,low,
Honor,70 Lite,,android,phone,2023,unknown,,,,,,,,,low,
Honor,80 SE,,android,phone,2022,unknown,,,,,,,,,low,
Honor,80,,android,phone,2022,unknown,,,,,,,,,low,
Honor,80 Pro,,android,phone,2022,unknown,,,,,,,,,low,
Honor,80 Pro Flat,,android,phone,2023,unknown,,,,,,,,,low,
Honor,80 GT,,android,phone,2023,unknown,,,,,,,,,low,
Honor,90 Lite,,android,phone,2023,unknown,,,,,,,,,low,
Honor,90,,android,phone,2023,unknown,,,,,,,,,low,
Honor,90 Pro,,android,phone,2023,unknown,,,,,,,,,low,
