brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Huawei,P30,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,P30 Pro,,android,phone,2019,yes,,"physical+esim",1,,,,"",high,
Huawei,P40,,android,phone,2020,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,P40 Pro,,android,phone,2020,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,P40 Pro+,,android,phone,2020,conditional,region:CN=no,"physical+esim",1,,,,"",medium,
Huawei,P50,,android,phone,2021,no,,"none",,,,,"",high,
Huawei,P50 Pro,,android,phone,2021,conditional,region:CN=no,"physical+esim",1,,,,"",medium,
Huawei,P50 Pocket,,android,phone,2021,conditional,region:CN=no,"physical+esim",1,,,,"",medium,
Huawei,P60,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,P60 Pro,,android,phone,2023,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,P60 Art,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,Pura 70,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Pura 70 Pro,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Pura 70 Ultra,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Pura 80,,harmonyos,phone,2025,unknown,,,,,,,,"",low,
Huawei,Pura 80 Pro,,harmonyos,phone,2025,unknown,,,,,,,,"",low,
Huawei,Pura 80 Ultra,,harmonyos,phone,2025,unknown,,,,,,,,"",low,
Huawei,Mate 20,,android,phone,2018,no,,"none",,,,,"",high,
Huawei,Mate 20 Pro,,android,phone,2018,no,,"none",,,,,"",high,
Huawei,Mate 20 X,,android,phone,2018,no,,"none",,,,,"",high,
Huawei,Mate 30,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Mate 30 Pro,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Mate 40,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Mate 40 Pro,,android,phone,2020,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,Mate 40 Pro+,,android,phone,2020,conditional,region:CN=no,"physical+esim",1,,,,"",medium,
Huawei,Mate 50,,android,phone,2022,no,,"none",,,,,"",high,
Huawei,Mate 50 Pro,,android,phone,2022,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,Mate X,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Mate Xs,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Mate X2,,android,phone,2021,no,,"none",,,,,"",high,
Huawei,Mate X3,,android,phone,2023,conditional,region:CN=no,"physical+esim",1,,,,"",high,
Huawei,Mate X5,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Mate X6,,harmonyos,phone,2024,conditional,region:CN=no,"physical+esim",1,,,,"",medium,
Huawei,Mate 60,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Mate 60 Pro,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Mate 60 Pro+,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Mate 70,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Mate 70 Pro,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Mate 70 Pro+,,harmonyos,phone,2024,no,,"none",,,,,"",medium,
Huawei,Nova 5,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Nova 5 Pro,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Nova 6,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Nova 6 Pro,,android,phone,2019,no,,"none",,,,,"",high,
Huawei,Nova 7,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 7 Pro,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 7 SE,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 8,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 8 Pro,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 8 SE,,android,phone,2020,no,,"none",,,,,"",high,
Huawei,Nova 9,,android,phone,2021,no,,"none",,,,,"",high,
Huawei,Nova 9 Pro,,android,phone,2021,no,,"none",,,,,"",high,
Huawei,Nova 9 SE,,android,phone,2022,no,,"none",,,,,"",high,
Huawei,Nova 10,,android,phone,2022,no,,"none",,,,,"",high,
Huawei,Nova 10 Pro,,android,phone,2022,no,,"none",,,,,"",high,
Huawei,Nova 10 SE,,android,phone,2022,no,,"none",,,,,"",high,
Huawei,Nova 11,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 11 Pro,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 11 Ultra,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 11 SE,,android,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 12,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 12 Pro,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 12 Ultra,,harmonyos,phone,2023,no,,"none",,,,,"",high,
Huawei,Nova 12 SE,,harmonyos,phone,2024,no,,"none",,,,,"",high,
Huawei,Nova 13,,harmonyos,phone,2024,no,,"none",,,,,"",high,
Huawei,Nova 13 Pro,,harmonyos,phone,2024,no,,"none",,,,,"",high,
