brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
realme,6,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,6 Pro,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,6i,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,6s,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,6x,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,7,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,7 Pro,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,7i,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,7 5G,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,7 Pro 5G,,android,phone,2020,no,,unknown,,,,unknown,,high,
realme,7i 5G,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,8,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,8 Pro,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,8i,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,8 5G,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,8s 5G,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,8 Pro 5G,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,9,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,9 Pro,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,9 Pro+,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,9i,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,9i 5G,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,9 5G,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,9 SE,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10 Pro,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10 Pro+,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10 5G,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10T,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10T 5G,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,10s,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,10s 5G,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11 Pro,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11 Pro+,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11x,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11x 5G,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11 5G,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11 Pro 5G,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,11 Pro+ 5G,,android,phone,2023,no,,unknown,,,,unknown,,high,
realme,12,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12x,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12x 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12 Pro 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12 Pro+ 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,12+ 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13+,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13+ 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13 Pro 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13 Pro+ 5G,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,13 Pro,,android,phone,2024,no,,unknown,,,,unknown,,high,
realme,14 5G,,android,phone,2025,no,,unknown,,,,unknown,,high,
realme,14x 5G,,android,phone,2025,no,,unknown,,,,unknown,,high,
realme,14 Pro 5G,,android,phone,2025,no,,unknown,,,,unknown,,high,
realme,14 Pro+ 5G,,android,phone,2025,no,,unknown,,,,unknown,,high,
realme,GT,,android,phone,2021,no,,unknown,,,,unknown,,high,
realme,GT 2,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,GT 2 Pro,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,GT 2T,,android,phone,2022,no,,unknown,,,,unknown,,high,
realme,GT 3,,android,phone,2023,no,,unknown,,,,unknown,,high,
