brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
vivo,X50,,android,phone,2020,no,,,none,,,official,,high,
vivo,X50 Pro,,android,phone,2020,no,,,none,,,official,,high,
vivo,X50 Pro+,,android,phone,2020,no,,,none,,,official,,high,
vivo,X60,,android,phone,2020,no,,,none,,,official,,high,
vivo,X60 Pro,,android,phone,2020,no,,,none,,,official,,high,
vivo,X60 Pro+,,android,phone,2021,no,,,none,,,official,,high,
vivo,X60t,,android,phone,2021,no,,,none,,,parallel,,high,
vivo,X60t Pro+,,android,phone,2021,no,,,none,,,parallel,,high,
vivo,X70,,android,phone,2021,no,,,none,,,official,,high,
vivo,X70 Pro,,android,phone,2021,no,,,none,,,official,,high,
vivo,X70 Pro+,,android,phone,2021,no,,,none,,,official,,high,
vivo,X80,,android,phone,2022,no,,,none,,,official,,high,
vivo,X80 Pro,,android,phone,2022,no,,,none,,,official,,high,
vivo,X80 Lite,,android,phone,2022,no,,,none,,,parallel,,high,
vivo,X80 Pro Dimensity 9000 Edition,,android,phone,2022,no,,,none,,,parallel,,high,
vivo,X90,,android,phone,2022,conditional,region:CN=no,,,13.0,,,parallel,,medium,Regional variants differ.
vivo,X90 Pro,,android,phone,2023,conditional,region:CN=no,,,13.0,,,parallel,,medium,Regional variants differ.
vivo,X90 Pro+,,android,phone,2022,no,,,none,,,parallel,,high,
vivo,X90s,,android,phone,2023,no,,,none,,,parallel,,high,
vivo,X100,,android,phone,2023,conditional,region:CN=no,,,14.0,,,parallel,,medium,Regional variants differ.
vivo,X100 Pro,,android,phone,2023,conditional,region:CN=no,,,14.0,,,parallel,,medium,Regional variants differ.
vivo,X100 Ultra,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X100s,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X100s Pro,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X200,,android,phone,2024,conditional,region:CN=no,,,14.0,,,parallel,,medium,Regional variants differ.
vivo,X200 Pro,,android,phone,2024,yes,region:CN=no,physical+esim,1,14.0,,,parallel,,medium,Global variant supports eSIM.
vivo,X200 Pro mini,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X200 Ultra,,android,phone,2025,no,,,none,,,parallel,,high,
vivo,X200s,,android,phone,2025,no,,,none,,,parallel,,high,
vivo,X Fold2,,android,phone,2023,no,,,none,,,parallel,,high,
vivo,X Fold3,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X Fold3 Pro,,android,phone,2024,no,,,none,,,parallel,,high,
vivo,X Fold5,,android,phone,2025,no,,,none,,,parallel,,high,
vivo,V20,,android,phone,2020,no,,,none,,,official,,high,
vivo,V20 Pro,,android,phone,2020,no,,,none,,,parallel,,high,
vivo,V20 SE,,android,phone,2020,no,,,none,,,official,,high,
vivo,V21,,android,phone,2021,no,,,none,,,official,,high,
vivo,V21 5G,,android,phone,2021,no,,,none,,,official,,high,
vivo,V21e,,android,phone,2021,no,,,none,,,official,,high,
vivo,V23 5G,,android,phone,2022,no,,,none,,,official,,high,
vivo,V23 Pro 5G,,android,phone,2022,no,,,none,,,official,,high,
vivo,V23e,,android,phone,2021,no,,,none,,,official,,high,
vivo,V25,,android,phone,2022,no,,,none,,,official,,high,
vivo,V25 Pro,,android,phone,2022,no,,,none,,,official,,high,
vivo,V25e,,android,phone,2022,no,,,none,,,official,,high,
vivo,V27,,android,phone,2023,no,,,none,,,official,,high,
vivo,V27 Pro,,android,phone,2023,no,,,none,,,official,,high,
vivo,V27e,,android,phone,2023,no,,,none,,,official,,high,
vivo,V29,,android,phone,2023,no,,,none,,,official,,high,
vivo,V29 Pro,,android,phone,2023,no,,,none,,,official,,high,
vivo,V29e,,android,phone,2023,no,,,none,,,official,,high,
vivo,V30,,android,phone,2024,no,,,none,,,official,,high,
vivo,V30 Pro,,android,phone,2024,no,,,none,,,official,,high,
vivo,V30e,,android,phone,2024,no,,,none,,,official,,high,
vivo,V40,,android,phone,2024,no,,,none,,,official,,high,
vivo,V40 Pro,,android,phone,2024,no,,,none,,,official,,high,
vivo,V40e,,android,phone,2024,no,,,none,,,official,,high,
vivo,V50,,android,phone,2025,no,,,none,,,official,,high,
vivo,V50e,,android,phone,2025,no,,,none,,,official,,high,
vivo,V50 Lite,,android,phone,2025,no,,,none,,,official,,high,
vivo,V50 Lite 5G,,android,phone,2025,no,,,none,,,official,,high,
vivo,Y20,,android,phone,2020,no,,,none,,,official,,high,
vivo,Y20s,,android,phone,2020,no,,,none,,,official,,high,
vivo,Y20i,,android,phone,2020,no,,,none,,,official,,high,
vivo,Y20G,,android,phone,2021,no,,,none,,,official,,high,
vivo,Y21,,android,phone,2021,no,,,none,,,official,,high,
vivo,Y21s,,android,phone,2021,no,,,none,,,official,,high,
vivo,Y21e,,android,phone,2022,no,,,none,,,official,,high,
vivo,Y22,,android,phone,2022,no,,,none,,,official,,high,
vivo,Y22s,,android,phone,2022,no,,,none,,,official,,high,
vivo,Y27,,android,phone,2023,no,,,none,,,official,,high,
vivo,Y27 5G,,android,phone,2023,no,,,none,,,official,,high,
vivo,Y27s,,android,phone,2023,no,,,none,,,official,,high,
vivo,Y28,,android,phone,2023,no,,,none,,,official,,high,
vivo,Y28 5G,,android,phone,2024,no,,,none,,,official,,high,
vivo,Y28e 5G,,android,phone,2024,no,,,none,,,official,,high,
vivo,Y29,,android,phone,2024,no,,,none,,,official,,high,
vivo,Y29 5G,,android,phone,2024,no,,,none,,,official,,high,
vivo,Y30,,android,phone,2020,no,,,none,,,official,,high,
vivo,Y30G,,android,phone,2021,no,,,none,,,official,,high,
vivo,Y31,,android,phone,2021,no,,,none,,,official,,high,
