brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Tecno,Camon 18,,,,2021,unknown,,,,,,,,,,eSIM status not confirmed; stopping after Camon 18 generation due no web verification
Tecno,Camon 18 Premier,,,,2021,unknown,,,,,,,,,,
Tecno,Camon 19,,,,2022,unknown,,,,,,,,,,
Tecno,Camon 19 Pro,,,,2022,unknown,,,,,,,,,,
Tecno,Camon 19 Pro 5G,,,,2022,unknown,,,,,,,,,,
Tecno,Camon 20,,,,2023,unknown,,,,,,,,,,
Tecno,Camon 20 Pro,,,,2023,unknown,,,,,,,,,,
Tecno,Camon 20 Pro 5G,,,,2023,unknown,,,,,,,,,,
Tecno,Camon 20 Premier 5G,,,,2023,unknown,,,,,,,,,,
Tecno,Camon 30,,,,2024,unknown,,,,,,,,,,
Tecno,Camon 30 5G,,,,2024,unknown,,,,,,,,,,
Tecno,Camon 30 Pro 5G,,,,2024,unknown,,,,,,,,,,
Tecno,Camon 30 Premier 5G,,,,2024,unknown,,,,,,,,,,
Tecno,Camon 40,,,,2025,unknown,,,,,,,,,,
Tecno,Camon 40 Pro,,,,2025,unknown,,,,,,,,,,
Tecno,Camon 40 Pro 5G,,,,2025,unknown,,,,,,,,,,
Tecno,Spark 7,,,,2021,unknown,,,,,,,,,,
Tecno,Spark 8,,,,2021,unknown,,,,,,,,,,
Tecno,Spark 8 Pro,,,,2021,unknown,,,,,,,,,,
Tecno,Spark 9,,,,2022,unknown,,,,,,,,,,
Tecno,Spark 9 Pro,,,,2022,unknown,,,,,,,,,,
Tecno,Spark 10,,,,2023,unknown,,,,,,,,,,
Tecno,Spark 10 Pro,,,,2023,unknown,,,,,,,,,,
Tecno,Spark 20,,,,2023,unknown,,,,,,,,,,
Tecno,Spark 20 Pro,,,,2023,unknown,,,,,,,,,,
Tecno,Spark 20 Pro+,,,,2023,unknown,,,,,,,,,,
Tecno,Spark 30,,,,2024,unknown,,,,,,,,,,
Tecno,Spark 30 Pro,,,,2024,unknown,,,,,,,,,,
Tecno,Spark 40,,,,2025,unknown,,,,,,,,,,
Tecno,Spark 40 Pro,,,,2025,unknown,,,,,,,,,,
Tecno,Pova 2,,,,2020,unknown,,,,,,,,,,
Tecno,Pova 3,,,,2022,unknown,,,,,,,,,,
Tecno,Pova 4,,,,2022,unknown,,,,,,,,,,
Tecno,Pova 4 Pro,,,,2022,unknown,,,,,,,,,,
Tecno,Pova 5,,,,2023,unknown,,,,,,,,,,
Tecno,Pova 5 Pro 5G,,,,2023,unknown,,,,,,,,,,
Tecno,Pova 6,,,,2024,unknown,,,,,,,,,,
Tecno,Pova 6 Pro 5G,,,,2024,unknown,,,,,,,,,,
Tecno,Pova 7,,,,2025,unknown,,,,,,,,,,
Tecno,Pova 7 Pro 5G,,,,2025,unknown,,,,,,,,,,
Tecno,Phantom X,,,,2021,unknown,,,,,,,,,,
Tecno,Phantom X2,,,,2022,unknown,,,,,,,,,,
Tecno,Phantom X2 Pro,,,,2022,unknown,,,,,,,,,,
Tecno,Phantom V Fold,,,,2023,unknown,,,,,,,,,,
Tecno,Phantom V Flip 5G,,,,2023,unknown,,,,,,,,,,
Tecno,Phantom V Fold2 5G,,,,2024,unknown,,,,,,,,,,
Tecno,Phantom V Flip2 5G,,,,2024,unknown,,,,,,,,,,
Infinix,Note 10,,,,2021,unknown,,,,,,,,,,
Infinix,Note 10 Pro,,,,2021,unknown,,,,,,,,,,
Infinix,Note 11,,,,2021,unknown,,,,,,,,,,
Infinix,Note 11 Pro,,,,2021,unknown,,,,,,,,,,
Infinix,Note 12,,,,2022,unknown,,,,,,,,,,
Infinix,Note 12 Pro,,,,2022,unknown,,,,,,,,,,
