brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Nothing,Phone (1),,android,phone,2022,no,,none,,,,,,,
Nothing,Phone (2),,android,phone,2023,no,,none,,,,,,,
Nothing,Phone (2a),,android,phone,2024,no,,none,,,,,,,
Nothing,Phone (2a) Plus,,android,phone,2024,no,,none,,,,,,,
Nothing,Phone (3),,android,phone,2025,unknown,,,,,,,,,low,
Nothing,Phone (3a),,android,phone,2025,unknown,,,,,,,,,low,
Nothing,Phone (3a) Pro,,android,phone,2025,unknown,,,,,,,,,low,
Nothing,CMF Phone 1,,android,phone,2024,no,,none,,,,,,,
Nothing,CMF Phone 2,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Edge,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Edge+,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Edge 20,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Edge 20 Lite,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Edge 20 Pro,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Edge 20 Fusion,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Edge 30,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Edge 30 Neo,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Edge 30 Fusion,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Edge 30 Pro,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Edge 30 Ultra,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Edge 40,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Edge 40 Neo,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Edge 40 Pro,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Edge 40 Fusion,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Edge 50,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Edge 50 Fusion,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Edge 50 Neo,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Edge 50 Pro,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Edge 50 Ultra,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Edge 60,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Edge 60 Fusion,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Edge 60 Neo,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Edge 60 Pro,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Edge 60 Fusion,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Moto G8,,android,phone,2019,unknown,,,,,,,,,low,
Motorola,Moto G8 Play,,android,phone,2019,unknown,,,,,,,,,low,
Motorola,Moto G8 Plus,,android,phone,2019,unknown,,,,,,,,,low,
Motorola,Moto G8 Power,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G8 Power Lite,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G9,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G9 Play,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G9 Power,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G9 Plus,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G10,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G10 Power,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G20,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G30,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G31,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G40 Fusion,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G41,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G42,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G50,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G50 5G,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G51 5G,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G52,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G53 5G,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G54 5G,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G55 5G,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Moto G60,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G60S,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G62 5G,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G71 5G,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G72,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G73 5G,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G82 5G,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G84 5G,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G85 5G,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Moto G86 5G,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Moto G100,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G200 5G,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G Power,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G Power 5G,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G Power 5G (2024),,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Moto G Power 5G (2025),,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Moto G Play,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G Play (2021),,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G Play (2023),,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G Play (2024),,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Moto G Play (2025),,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Moto G Stylus,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Moto G Stylus 5G,,android,phone,2021,unknown,,,,,,,,,low,
Motorola,Moto G Stylus 5G (2022),,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Moto G Stylus 5G (2023),,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Moto G Stylus 5G (2024),,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Moto G Stylus 5G (2025),,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Razr 5G,,android,phone,2020,unknown,,,,,,,,,low,
Motorola,Razr 2022,,android,phone,2022,unknown,,,,,,,,,low,
Motorola,Razr 40,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Razr 40 Ultra,,android,phone,2023,unknown,,,,,,,,,low,
Motorola,Razr 50,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Razr 50 Ultra,,android,phone,2024,unknown,,,,,,,,,low,
Motorola,Razr 60,,android,phone,2025,unknown,,,,,,,,,low,
Motorola,Razr 60 Ultra,,android,phone,2025,unknown,,,,,,,,,low,
ASUS,Zenfone 7,,android,phone,2020,no,,dual-esim,,,,,,,high,
ASUS,Zenfone 7 Pro,,android,phone,2020,no,,dual-esim,,,,,,,high,
ASUS,Zenfone 8,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,Zenfone 8 Flip,,android,phone,2021,no,,dual-esim,,,,,,,high,
