brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
samsung,Galaxy Fold,SM-F900,android,phone,2019,no,,none,,,,,,high,
samsung,Galaxy Z Fold2,SM-F916,android,phone,2020,no,,none,,,,,,high,
samsung,Galaxy Z Fold3,SM-F926,android,phone,2021,yes,region:CN=no,physical+esim,1,11.0,14.0,official,,high,
samsung,Galaxy Z Fold4,SM-F936,android,phone,2022,yes,region:CN=no,physical+esim,1,12.0,15.0,parallel,,high,
samsung,Galaxy Z Fold5,SM-F946,android,phone,2023,yes,region:CN=no,physical+esim,1,13.0,16.0,parallel,,high,
samsung,Galaxy Z Fold6,SM-F956,android,phone,2024,yes,region:CN=no,physical+esim,1,14.0,16.0,parallel,,high,
samsung,Galaxy Z Fold7,,android,phone,2025,yes,region:CN=no,physical+esim,1,15.0,16.0,parallel,,high,
samsung,Galaxy Z Flip,SM-F700,android,phone,2020,no,,none,,,,,,high,
samsung,Galaxy Z Flip 5G,SM-F707,android,phone,2020,no,,none,,,,,,high,
samsung,Galaxy Z Flip3 5G,SM-F711,android,phone,2021,yes,region:CN=no,physical+esim,1,11.0,14.0,official,,high,
samsung,Galaxy Z Flip4,SM-F721,android,phone,2022,yes,region:CN=no,physical+esim,1,12.0,15.0,parallel,,high,
samsung,Galaxy Z Flip5,SM-F731,android,phone,2023,yes,region:CN=no,physical+esim,1,13.0,16.0,parallel,,high,
samsung,Galaxy Z Flip6,SM-F741,android,phone,2024,yes,region:CN=no,physical+esim,1,14.0,16.0,parallel,,high,
samsung,Galaxy Z Flip7,,android,phone,2025,yes,region:CN=no,physical+esim,1,15.0,16.0,parallel,,high,
samsung,Galaxy Z Flip7 FE,,android,phone,2025,yes,region:CN=no,physical+esim,1,,,,parallel,,medium,
samsung,Galaxy Note 9,SM-N960,android,phone,2018,no,,none,,8.1,10.0,official,,high,
samsung,Galaxy Note 10,SM-N970,android,phone,2019,no,,none,,9.0,12.0,official,,high,
samsung,Galaxy Note 10+,SM-N975,android,phone,2019,no,,none,,9.0,12.0,official,,high,
samsung,Galaxy Note 20,SM-N980,android,phone,2020,no,,none,,10.0,13.0,official,,high,
samsung,Galaxy Note 20 Ultra,SM-N985,android,phone,2020,unknown,,unknown,,10.0,13.0,official,,low,
