brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
huawei,P30,ELE-L29;ELE-L09;ELE-AL00,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,P30 Pro,VOG-L29;VOG-L09;VOG-AL00;VOG-AL10,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,P40,ANA-LX9;ANA-AN00;ANA-TN00,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,P40 Pro,ELS-NX9;ELS-N04;ELS-AN00;ELS-TN00,android,phone,2020,conditional,region:CN=no,unknown,,10.0,10.0,official,,medium,
huawei,P40 Pro+,ELS-N39,android,phone,2020,conditional,region:CN=no,unknown,,10.0,10.0,official,,medium,
huawei,P50,ABR-AL60;ABR-AL00,harmonyos,phone,2021,no,,unknown,,,,parallel,,medium,
huawei,P50 Pro,JAD-AL00;JAD-AL50,harmonyos,phone,2021,no,,unknown,,,,parallel,,medium,
huawei,P50 Pocket,BAL-AL00;BAL-AL20,harmonyos,phone,2021,conditional,region:CN=yes,unknown,,,,parallel,,medium,
huawei,P60,MNA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,P60 Pro,MNA-LX9;LNA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,P60 Art,LNA-AL80,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Pura 70,ADY-AL00;ADY-AL20;ADY-LX9,harmonyos,phone,2024,conditional,region:CN=yes,unknown,,,,parallel,,medium,
huawei,Pura 70 Pro,ADY-AL80;ADY-L49,harmonyos,phone,2024,conditional,region:CN=yes,unknown,,,,parallel,,medium,
huawei,Pura 70 Ultra,ADY-AL60,harmonyos,phone,2024,conditional,region:CN=yes,unknown,,,,parallel,,medium,
huawei,Pura 80,,harmonyos,phone,2025,conditional,region:CN=yes,unknown,,,,parallel,,low,
huawei,Pura 80 Pro,,harmonyos,phone,2025,conditional,region:CN=yes,unknown,,,,parallel,,low,
huawei,Pura 80 Ultra,,harmonyos,phone,2025,conditional,region:CN=yes,unknown,,,,parallel,,low,
huawei,Mate 20,EVR-L29;EVR-AL00,android,phone,2018,no,,unknown,,9.0,10.0,official,,high,
huawei,Mate 20 Pro,LYA-L29;LYA-L09;LYA-AL00;LYA-AL10,android,phone,2018,no,,unknown,,9.0,10.0,official,,high,
huawei,Mate 20 X,EVR-N29;EVR-AN00,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Mate 30,TAS-AL00;TAS-L29,android,phone,2019,no,,unknown,,10.0,10.0,official,,high,
huawei,Mate 30 Pro,LIO-L29;LIO-L09;LIO-AL00;LIO-AN00,android,phone,2019,no,,unknown,,10.0,10.0,official,,high,
huawei,Mate 40,OCE-AL00;OCE-L29,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,Mate 40 Pro,NOH-L29;NOH-NX9;NOH-AN00,android,phone,2020,conditional,region:CN=no,unknown,,10.0,10.0,official,,medium,
huawei,Mate 40 Pro+,NGA-L29;NGA-NX9,android,phone,2020,conditional,region:CN=no,unknown,,10.0,10.0,official,,medium,
huawei,Mate 50,DCO-AL00,harmonyos,phone,2022,no,,unknown,,,,parallel,,medium,
huawei,Mate 50 Pro,DCO-LX9;CET-AL60,harmonyos,phone,2022,no,,unknown,,,,parallel,,medium,
huawei,Mate X,TAH-AN00,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Mate Xs,TAH-AN50,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,Mate X2,TET-AN00;TET-AN50,android,phone,2021,conditional,region:CN=no,unknown,,10.0,,parallel,,medium,
huawei,Mate X3,VTE-AL00,harmonyos,phone,2023,conditional,region:CN=no,unknown,,,,parallel,,medium,
huawei,Mate X5,VTE-AL20,harmonyos,phone,2023,conditional,region:CN=no,unknown,,,,parallel,,medium,
huawei,Mate X6,,harmonyos,phone,2024,conditional,region:CN=no,unknown,,,,parallel,,low,
huawei,Mate 60,BRA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Mate 60 Pro,BRA-AL80;BRA-LX9,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Mate 60 Pro+,,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Mate 70,,harmonyos,phone,2024,no,,unknown,,,,parallel,,low,
huawei,Mate 70 Pro,,harmonyos,phone,2024,no,,unknown,,,,parallel,,low,
huawei,Mate 70 Pro+,,harmonyos,phone,2024,no,,unknown,,,,parallel,,low,
huawei,Nova 5,SEA-AL10;SEA-AL00,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Nova 5i,SPN-AL00;SPN-TL00,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Nova 5 Pro,SEA-AL10,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Nova 5T,SEA-LX9,android,phone,2019,no,,unknown,,9.0,10.0,official,,high,
huawei,Nova 6,SEQ-AL10;JEF-AN00,android,phone,2019,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 6 Pro,JEF-AN00,android,phone,2019,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 6 SE,JEF-TN00,android,phone,2019,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 7,JER-AN10;JER-AN00,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 7 Pro,JER-AN10,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 7 SE,CDY-AN00;CDY-TN00,android,phone,2020,no,,unknown,,10.0,10.0,official,,high,
huawei,Nova 8,ANG-AN00,android,phone,2021,no,,unknown,,10.0,,parallel,,medium,
huawei,Nova 8 Pro,ANG-AN00,android,phone,2021,no,,unknown,,10.0,,parallel,,medium,
huawei,Nova 8 SE,CDY-AN00,android,phone,2021,no,,unknown,,10.0,,parallel,,medium,
huawei,Nova 9,NCO-AL00,harmonyos,phone,2021,no,,unknown,,,,parallel,,medium,
huawei,Nova 9 Pro,NCO-AL00,harmonyos,phone,2021,no,,unknown,,,,parallel,,medium,
huawei,Nova 10,GA-AL00,harmonyos,phone,2022,no,,unknown,,,,parallel,,medium,
huawei,Nova 10 Pro,GA-AL00,harmonyos,phone,2022,no,,unknown,,,,parallel,,medium,
huawei,Nova 10 SE,CDY-AL00,harmonyos,phone,2022,no,,unknown,,,,parallel,,medium,
huawei,Nova 11,MNA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 11 Pro,MNA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 11 Ultra,,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 12,ADA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 12 Pro,ADA-AL00,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 12 Ultra,,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 13,,harmonyos,phone,2024,no,,unknown,,,,parallel,,low,
huawei,Nova 13 Pro,,harmonyos,phone,2024,no,,unknown,,,,parallel,,low,
huawei,Nova 12 SE,,harmonyos,phone,2023,no,,unknown,,,,parallel,,medium,
huawei,Nova 13,,harmonyos,phone,2024,no,,unknown,,,,parallel,,medium,
huawei,Nova 13 Pro,,harmonyos,phone,2024,no,,unknown,,,,parallel,,medium,
huawei,Nova 13 Ultra,,harmonyos,phone,2024,unknown,,unknown,,,,parallel,,low,
