brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Nothing,Phone (1),,,,,unknown,,,,,,,,,
Nothing,Phone (2),,android,phone,2023,yes,,physical+esim,,13,,,,medium,
Nothing,Phone (2a),,,,,unknown,,,,,,,,,
Nothing,Phone (2a) Plus,,,,,unknown,,,,,,,,,
Nothing,Phone (3),,,,,unknown,,,,,,,,,
Nothing,Phone (3a),,,,,unknown,,,,,,,,,
Nothing,Phone (3a) Pro,,,,,unknown,,,,,,,,,
Nothing,CMF Phone 1,,android,phone,2024,no,,,,,,,,medium,
Nothing,CMF Phone 2,,,,,unknown,,,,,,,,,
Motorola,Edge,,,,,unknown,,,,,,,,,
Motorola,Edge+,,,,,unknown,,,,,,,,,
Motorola,Edge 20,,,,,unknown,,,,,,,,,
Motorola,Edge 20 Pro,,,,,unknown,,,,,,,,,
Motorola,Edge 20 Lite,,,,,unknown,,,,,,,,,
Motorola,Edge 30,,,,,unknown,,,,,,,,,
Motorola,Edge 30 Pro,,,,,unknown,,,,,,,,,
Motorola,Edge 30 Neo,,,,,unknown,,,,,,,,,
Motorola,Edge 30 Fusion,,,,,unknown,,,,,,,,,
Motorola,Edge 30 Ultra,,,,,unknown,,,,,,,,,
Motorola,Edge 30 Lite,,,,,unknown,,,,,,,,,
Motorola,Edge 40,,,,,unknown,,,,,,,,,
Motorola,Edge 40 Pro,,,,,unknown,,,,,,,,,
Motorola,Edge 40 Neo,,,,,unknown,,,,,,,,,
Motorola,Edge 40 Lite,,,,,unknown,,,,,,,,,
Motorola,Edge 50,,,,,unknown,,,,,,,,,
Motorola,Edge 50 Pro,,,,,unknown,,,,,,,,,
Motorola,Edge 50 Fusion,,,,,unknown,,,,,,,,,
Motorola,Edge 50 Neo,,,,,unknown,,,,,,,,,
Motorola,Edge 50 Ultra,,,,,unknown,,,,,,,,,
Motorola,Edge 50 Lite,,,,,unknown,,,,,,,,,
Motorola,Edge 60,,,,,unknown,,,,,,,,,
Motorola,Edge 60 Pro,,,,,unknown,,,,,,,,,
Motorola,Edge 60 Fusion,,,,,unknown,,,,,,,,,
Motorola,Edge 60 Neo,,,,,unknown,,,,,,,,,
Motorola,Edge 60 Ultra,,,,,unknown,,,,,,,,,
Motorola,Edge 60 Lite,,,,,unknown,,,,,,,,,
Motorola,Moto G8,,,,,unknown,,,,,,,,,
Motorola,Moto G8 Plus,,,,,unknown,,,,,,,,,
Motorola,Moto G8 Play,,,,,unknown,,,,,,,,,
Motorola,Moto G8 Power,,,,,unknown,,,,,,,,,
Motorola,Moto G8 Power Lite,,,,,unknown,,,,,,,,,
Motorola,Moto G9,,,,,unknown,,,,,,,,,
Motorola,Moto G9 Plus,,,,,unknown,,,,,,,,,
Motorola,Moto G9 Play,,,,,unknown,,,,,,,,,
Motorola,Moto G9 Power,,,,,unknown,,,,,,,,,
